Nb,Sector,Type,magnet,Loop,nc,L,QS,Kvmax,R,u0,QEH,T2,CV1,CV2,P1,P4,T3,T1,Qbs,MassFlow,TC84x,TC94x
331,67,ARC,Q31,QRLAC_31R6_X43,4,53,7,0.39,30,7,LBARB_32R6_EH843,LBARB_32R6_TT843,QRLAC_31R6_CV943,0,QRLAA_33L7_PT961,QRLAA_33L7_PT991,QRLAC_31R6_TT943,QRLAA_33L7_TT961,QRLAC_31R6_QBS943,QRLAC_31R6_FT943,LBARB_32R6_TC843,QRLAC_31R6_TC943
332,67,ARC,Q32,QRLAD_33R6_X47,4,53,7,0.39,35,8,LQOBB_32R6_EH847,LQOBB_32R6_TT847,QRLAD_33R6_CV947,0,QRLAA_33L7_PT961,QRLAA_33L7_PT991,QRLAD_33R6_TT947,QRLAA_33L7_TT961,QRLAD_33R6_QBS947,QRLAD_33R6_FT947,LQOBB_32R6_TC847,QRLAD_33R6_TC947
333,67,ARC,Q33,QRLAD_33R6_X43,4,53,7,0.39,33,8,LBARB_34R6_EH843,LBARB_34R6_TT843,QRLAD_33R6_CV943,0,QRLAA_33L7_PT961,QRLAA_33L7_PT991,QRLAD_33R6_TT943,QRLAA_33L7_TT961,QRLAD_33R6_QBS943,QRLAD_33R6_FT943,LBARB_34R6_TC843,QRLAD_33R6_TC943
334,67,ARC,Q34,QRLAA_33L7_X47,4,53,7,0.39,38,7,LQOBL_34R6_EH847,LQOBL_34R6_TT847,QRLAA_33L7_CV947,0,QRLAA_33L7_PT961,QRLAA_33L7_PT991,QRLAA_33L7_TT947,QRLAA_33L7_TT961,QRLAA_33L7_QBS947,QRLAA_33L7_FT947,LQOBL_34R6_TC847,QRLAA_33L7_TC947
335,67,ARC,Q33,QRLAA_33L7_X43,4,53,7,0.39,33,8,LBARB_33L7_EH843,LBARB_33L7_TT843,QRLAA_33L7_CV943,0,QRLAA_33L7_PT961,QRLAA_33L7_PT991,QRLAA_33L7_TT943,QRLAA_33L7_TT961,QRLAA_33L7_QBS943,QRLAA_33L7_FT943,LBARB_33L7_TC843,QRLAA_33L7_TC943
336,67,ARC,Q32,QRLAB_31L7_X47,4,53,7,0.39,39,8,LQOBL_32L7_EH847,LQOBL_32L7_TT847,QRLAB_31L7_CV947,0,QRLAA_33L7_PT961,QRLAA_33L7_PT991,QRLAB_31L7_TT947,QRLAA_33L7_TT961,QRLAB_31L7_QBS947,QRLAB_31L7_FT947,LQOBL_32L7_TC847,QRLAB_31L7_TC947
337,67,ARC,Q31,QRLAB_31L7_X43,4,53,7,0.39,39,7,LBARB_31L7_EH843,LBARB_31L7_TT843,QRLAB_31L7_CV943,0,QRLAA_29L7_PT961,QRLAA_29L7_PT991,QRLAB_31L7_TT943,QRLAA_29L7_TT961,QRLAB_31L7_QBS943,QRLAB_31L7_FT943,LBARB_31L7_TC843,QRLAB_31L7_TC943
338,67,ARC,Q30,QRLAA_29L7_X47,4,53,7,0.39,38,8,LQOBB_30L7_EH847,LQOBB_30L7_TT847,QRLAA_29L7_CV947,0,QRLAA_29L7_PT961,QRLAA_29L7_PT991,QRLAA_29L7_TT947,QRLAA_29L7_TT961,QRLAA_29L7_QBS947,QRLAA_29L7_FT947,LQOBB_30L7_TC847,QRLAA_29L7_TC947
339,67,ARC,Q29,QRLAA_29L7_X43,4,53,7,0.39,32,8,LBARB_29L7_EH843,LBARB_29L7_TT843,QRLAA_29L7_CV943,0,QRLAA_29L7_PT961,QRLAA_29L7_PT991,QRLAA_29L7_TT943,QRLAA_29L7_TT961,QRLAA_29L7_QBS943,QRLAA_29L7_FT943,LBARB_29L7_TC843,QRLAA_29L7_TC943
340,67,ARC,Q28,QRLAB_27L7_X47,4,53,7,0.39,37,8,LQOBL_28L7_EH847,LQOBL_28L7_TT847,QRLAB_27L7_CV947,0,QRLAA_29L7_PT961,QRLAA_29L7_PT991,QRLAB_27L7_TT947,QRLAA_29L7_TT961,QRLAB_27L7_QBS947,QRLAB_27L7_FT947,LQOBL_28L7_TC847,QRLAB_27L7_TC947
