Nb,Sector,Type,magnet,Loop,nc,L,QS,Kvmax,R,u0,QEH,T2,CV1,CV2,P1,P4,T3,T1,Qbs,MassFlow,TC84x,TC94x
384,78,ARC,Q27,QRLAB_27R7_X43,4,53,7,0.39,32,8,LBARB_28R7_EH843,LBARB_28R7_TT843,QRLAB_27R7_CV943,0,QRLAA_29R7_PT961,QRLAA_29R7_PT991,QRLAB_27R7_TT943,QRLAA_29R7_TT961,QRLAB_27R7_QBS943,QRLAB_27R7_FT943,LBARB_28R7_TC843,QRLAB_27R7_TC943
385,78,ARC,Q28,QRLAA_29R7_X47,4,53,7,0.39,36,7,LQOAG_28R7_EH847,LQOAG_28R7_TT847,QRLAA_29R7_CV947,0,QRLAA_29R7_PT961,QRLAA_29R7_PT991,QRLAA_29R7_TT947,QRLAA_29R7_TT961,QRLAA_29R7_QBS947,QRLAA_29R7_FT947,LQOAG_28R7_TC847,QRLAA_29R7_TC947
386,78,ARC,Q29,QRLAA_29R7_X43,4,53,7,0.39,38,7,LBARB_30R7_EH843,LBARB_30R7_TT843,QRLAA_29R7_CV943,0,QRLAA_29R7_PT961,QRLAA_29R7_PT991,QRLAA_29R7_TT943,QRLAA_29R7_TT961,QRLAA_29R7_QBS943,QRLAA_29R7_FT943,LBARB_30R7_TC843,QRLAA_29R7_TC943
387,78,ARC,Q30,QRLAC_31R7_X47,4,53,7,0.39,49,7,LQOAM_30R7_EH847,LQOAM_30R7_TT847,QRLAC_31R7_CV947,0,QRLAA_29R7_PT961,QRLAA_29R7_PT991,QRLAC_31R7_TT947,QRLAA_29R7_TT961,QRLAC_31R7_QBS947,QRLAC_31R7_FT947,LQOAM_30R7_TC847,QRLAC_31R7_TC947
388,78,ARC,Q31,QRLAC_31R7_X43,4,53,7,0.39,35,7,LBARB_32R7_EH843,LBARB_32R7_TT843,QRLAC_31R7_CV943,0,QRLAA_33L8_PT961,QRLAA_33L8_PT991,QRLAC_31R7_TT943,QRLAA_33L8_TT961,QRLAC_31R7_QBS943,QRLAC_31R7_FT943,LBARB_32R7_TC843,QRLAC_31R7_TC943
389,78,ARC,Q32,QRLAD_33R7_X47,4,53,7,0.39,45,8,LQOAG_32R7_EH847,LQOAG_32R7_TT847,QRLAD_33R7_CV947,0,QRLAA_33L8_PT961,QRLAA_33L8_PT991,QRLAD_33R7_TT947,QRLAA_33L8_TT961,QRLAD_33R7_QBS947,QRLAD_33R7_FT947,LQOAG_32R7_TC847,QRLAD_33R7_TC947
390,78,ARC,Q33,QRLAD_33R7_X43,4,53,7,0.39,36,7,LBARB_34R7_EH843,LBARB_34R7_TT843,QRLAD_33R7_CV943,0,QRLAA_33L8_PT961,QRLAA_33L8_PT991,QRLAD_33R7_TT943,QRLAA_33L8_TT961,QRLAD_33R7_QBS943,QRLAD_33R7_FT943,LBARB_34R7_TC843,QRLAD_33R7_TC943
391,78,ARC,Q34,QRLAA_33L8_X47,4,53,7,0.39,48,8,LQOAM_34R7_EH847,LQOAM_34R7_TT847,QRLAA_33L8_CV947,0,QRLAA_33L8_PT961,QRLAA_33L8_PT991,QRLAA_33L8_TT947,QRLAA_33L8_TT961,QRLAA_33L8_QBS947,QRLAA_33L8_FT947,LQOAM_34R7_TC847,QRLAA_33L8_TC947
392,78,ARC,Q33,QRLAA_33L8_X43,4,53,7,0.39,44,7,LBARB_33L8_EH843,LBARB_33L8_TT843,QRLAA_33L8_CV943,0,QRLAA_33L8_PT961,QRLAA_33L8_PT991,QRLAA_33L8_TT943,QRLAA_33L8_TT961,QRLAA_33L8_QBS943,QRLAA_33L8_FT943,LBARB_33L8_TC843,QRLAA_33L8_TC943
393,78,ARC,Q32,QRLAB_31L8_X47,4,53,7,0.39,39,8,LQOAM_32L8_EH847,LQOAM_32L8_TT847,QRLAB_31L8_CV947,0,QRLAA_33L8_PT961,QRLAA_33L8_PT991,QRLAB_31L8_TT947,QRLAA_33L8_TT961,QRLAB_31L8_QBS947,QRLAB_31L8_FT947,LQOAM_32L8_TC847,QRLAB_31L8_TC947
394,78,ARC,Q31,QRLAB_31L8_X43,4,53,7,0.39,42,8,LBARB_31L8_EH843,LBARB_31L8_TT843,QRLAB_31L8_CV943,0,QRLAA_29L8_PT961,QRLAA_29L8_PT991,QRLAB_31L8_TT943,QRLAA_29L8_TT961,QRLAB_31L8_QBS943,QRLAB_31L8_FT943,LBARB_31L8_TC843,QRLAB_31L8_TC943
395,78,ARC,Q30,QRLAA_29L8_X47,4,53,7,0.39,47,7,LQOAG_30L8_EH847,LQOAG_30L8_TT847,QRLAA_29L8_CV947,0,QRLAA_29L8_PT961,QRLAA_29L8_PT991,QRLAA_29L8_TT947,QRLAA_29L8_TT961,QRLAA_29L8_QBS947,QRLAA_29L8_FT947,LQOAG_30L8_TC847,QRLAA_29L8_TC947
396,78,ARC,Q29,QRLAA_29L8_X43,4,53,7,0.39,53,8,LBARB_29L8_EH843,LBARB_29L8_TT843,QRLAA_29L8_CV943,0,QRLAA_29L8_PT961,QRLAA_29L8_PT991,QRLAA_29L8_TT943,QRLAA_29L8_TT961,QRLAA_29L8_QBS943,QRLAA_29L8_FT943,LBARB_29L8_TC843,QRLAA_29L8_TC943
397,78,ARC,Q28,QRLAB_27L8_X47,4,53,7,0.39,43,9,LQOAM_28L8_EH847,LQOAM_28L8_TT847,QRLAB_27L8_CV947,0,QRLAA_29L8_PT961,QRLAA_29L8_PT991,QRLAB_27L8_TT947,QRLAA_29L8_TT961,QRLAB_27L8_QBS947,QRLAB_27L8_FT947,LQOAM_28L8_TC847,QRLAB_27L8_TC947
398,78,ARC,Q27,QRLAB_27L8_X43,4,53,7,0.39,35,8,LBARB_27L8_EH843,LBARB_27L8_TT843,QRLAB_27L8_CV943,0,QRLAF_25L8_PT961,QRLAF_25L8_PT991,QRLAB_27L8_TT943,QRLAF_25L8_TT961,QRLAB_27L8_QBS943,QRLAB_27L8_FT943,LBARB_27L8_TC843,QRLAB_27L8_TC943
399,78,ARC,Q26,QRLAF_25L8_X47,4,53,7,0.39,46,9,LQOAG_26L8_EH847,LQOAG_26L8_TT847,QRLAF_25L8_CV947,0,QRLAF_25L8_PT961,QRLAF_25L8_PT991,QRLAF_25L8_TT947,QRLAF_25L8_TT961,QRLAF_25L8_QBS947,QRLAF_25L8_FT947,LQOAG_26L8_TC847,QRLAF_25L8_TC947
400,78,ARC,Q25,QRLAF_25L8_X43,4,53,7,0.39,37,8,LBARB_25L8_EH843,LBARB_25L8_TT843,QRLAF_25L8_CV943,0,QRLAF_25L8_PT961,QRLAF_25L8_PT991,QRLAF_25L8_TT943,QRLAF_25L8_TT961,QRLAF_25L8_QBS943,QRLAF_25L8_FT943,LBARB_25L8_TC843,QRLAF_25L8_TC943
401,78,ARC,Q24,QRLAB_23L8_X47,4,53,7,0.39,33,7,LQOAG_24L8_EH847,LQOAG_24L8_TT847,QRLAB_23L8_CV947,0,QRLAF_25L8_PT961,QRLAF_25L8_PT991,QRLAB_23L8_TT947,QRLAF_25L8_TT961,QRLAB_23L8_QBS947,QRLAB_23L8_FT947,LQOAG_24L8_TC847,QRLAB_23L8_TC947
402,78,ARC,Q23,QRLAB_23L8_X43,4,53,7,0.39,37,7,LBARB_23L8_EH843,LBARB_23L8_TT843,QRLAB_23L8_CV943,0,QRLAA_21L8_PT961,QRLAA_21L8_PT991,QRLAB_23L8_TT943,QRLAA_21L8_TT961,QRLAB_23L8_QBS943,QRLAB_23L8_FT943,LBARB_23L8_TC843,QRLAB_23L8_TC943
403,78,ARC,Q22,QRLAA_21L8_X47,4,53,7,0.39,21,8,LQOAG_22L8_EH847,LQOAG_22L8_TT847,QRLAA_21L8_CV947,0,QRLAA_21L8_PT961,QRLAA_21L8_PT991,QRLAA_21L8_TT947,QRLAA_21L8_TT961,QRLAA_21L8_QBS947,QRLAA_21L8_FT947,LQOAG_22L8_TC847,QRLAA_21L8_TC947
404,78,ARC,Q21,QRLAA_21L8_X43,4,53,7,0.39,29,8,LBARB_21L8_EH843,LBARB_21L8_TT843,QRLAA_21L8_CV943,0,QRLAA_21L8_PT961,QRLAA_21L8_PT991,QRLAA_21L8_TT943,QRLAA_21L8_TT961,QRLAA_21L8_QBS943,QRLAA_21L8_FT943,LBARB_21L8_TC843,QRLAA_21L8_TC943
405,78,ARC,Q20,QRLAB_19L8_X47,4,53,7,0.39,45,7,LQATH_20L8_EH847,LQATH_20L8_TT847,QRLAB_19L8_CV947,0,QRLAA_21L8_PT961,QRLAA_21L8_PT991,QRLAB_19L8_TT947,QRLAA_21L8_TT961,QRLAB_19L8_QBS947,QRLAB_19L8_FT947,LQATH_20L8_TC847,QRLAB_19L8_TC947
406,78,ARC,Q19,QRLAB_19L8_X43,4,53,7,0.39,45,8,LBARB_19L8_EH843,LBARB_19L8_TT843,QRLAB_19L8_CV943,0,QRLAA_17L8_PT961,QRLAA_17L8_PT991,QRLAB_19L8_TT943,QRLAA_17L8_TT961,QRLAB_19L8_QBS943,QRLAB_19L8_FT943,LBARB_19L8_TC843,QRLAB_19L8_TC943
407,78,ARC,Q18,QRLAA_17L8_X47,4,53,7,0.39,27,8,LQATH_18L8_EH847,LQATH_18L8_TT847,QRLAA_17L8_CV947,0,QRLAA_17L8_PT961,QRLAA_17L8_PT991,QRLAA_17L8_TT947,QRLAA_17L8_TT961,QRLAA_17L8_QBS947,QRLAA_17L8_FT947,LQATH_18L8_TC847,QRLAA_17L8_TC947
408,78,ARC,Q17,QRLAA_17L8_X43,4,53,7,0.39,31,8,LBARB_17L8_EH843,LBARB_17L8_TT843,QRLAA_17L8_CV943,0,QRLAA_17L8_PT961,QRLAA_17L8_PT991,QRLAA_17L8_TT943,QRLAA_17L8_TT961,QRLAA_17L8_QBS943,QRLAA_17L8_FT943,LBARB_17L8_TC843,QRLAA_17L8_TC943
409,78,ARC,Q16,QRLAB_15L8_X47,4,53,7,0.39,37,7,LQATH_16L8_EH847,LQATH_16L8_TT847,QRLAB_15L8_CV947,0,QRLAA_17L8_PT961,QRLAA_17L8_PT991,QRLAB_15L8_TT947,QRLAA_17L8_TT961,QRLAB_15L8_QBS947,QRLAB_15L8_FT947,LQATH_16L8_TC847,QRLAB_15L8_TC947
410,78,ARC,Q15,QRLAB_15L8_X43,4,53,7,0.39,42,8,LBARB_15L8_EH843,LBARB_15L8_TT843,QRLAB_15L8_CV943,0,QRLAA_13L8_PT961,QRLAA_13L8_PT991,QRLAB_15L8_TT943,QRLAA_13L8_TT961,QRLAB_15L8_QBS943,QRLAB_15L8_FT943,LBARB_15L8_TC843,QRLAB_15L8_TC943
411,78,ARC,Q14,QRLAA_13L8_X47,4,53,7,0.39,32,6,LQATH_14L8_EH847,LQATH_14L8_TT847,QRLAA_13L8_CV947,0,QRLAA_13L8_PT961,QRLAA_13L8_PT991,QRLAA_13L8_TT947,QRLAA_13L8_TT961,QRLAA_13L8_QBS947,QRLAA_13L8_FT947,LQATH_14L8_TC847,QRLAA_13L8_TC947
412,78,ARC,Q13,QRLAA_13L8_X43,4,53,7,0.39,49,7,LBARB_13L8_EH843,LBARB_13L8_TT843,QRLAA_13L8_CV943,0,QRLAA_13L8_PT961,QRLAA_13L8_PT991,QRLAA_13L8_TT943,QRLAA_13L8_TT961,QRLAA_13L8_QBS943,QRLAA_13L8_FT943,LBARB_13L8_TC843,QRLAA_13L8_TC943
413,78,ARC,Q12,QRLAB_11L8_X47,4,53,7,0.39,42,8,LQATH_12L8_EH847,LQATH_12L8_TT847,QRLAB_11L8_CV947,0,QRLAA_13L8_PT961,QRLAA_13L8_PT991,QRLAB_11L8_TT947,QRLAA_13L8_TT961,QRLAB_11L8_QBS947,QRLAB_11L8_FT947,LQATH_12L8_TC847,QRLAB_11L8_TC947
414,78,ARC,Q11,QRLAB_11L8_X43,4,45,7,0.39,45,6,LBBRP_11L8_EH843,LBBRP_11L8_TT843,QRLAB_11L8_CV943,0,QRLBA_09L8_PT961,QRLBA_09L8_PT991,QRLAB_11L8_TT943,QRLBA_09L8_TT961,QRLAB_11L8_QBS943,QRLAB_11L8_FT943,LBBRP_11L8_TC843,QRLAB_11L8_TC943
415,78,ARC,Q10,QRLBA_09L8_X47,4,45,7,0.39,37,6,LQNCE_10L8_EH847,LQNCE_10L8_TT847,QRLBA_09L8_CV947,0,QRLBA_09L8_PT961,QRLBA_09L8_PT991,QRLBA_09L8_TT947,QRLBA_09L8_TT961,QRLBA_09L8_QBS947,QRLBA_09L8_FT947,LQNCE_10L8_TC847,QRLBA_09L8_TC947
416,78,ARC,Q9,QRLBA_09L8_X43,4,45,7,0.39,44,7,LBBRF_09L8_EH843,LBBRF_09L8_TT843,QRLBA_09L8_CV943,0,QRLBA_09L8_PT961,QRLBA_09L8_PT991,QRLBA_09L8_TT943,QRLBA_09L8_TT961,QRLBA_09L8_QBS943,QRLBA_09L8_FT943,LBBRF_09L8_TC843,QRLBA_09L8_TC943
417,78,LSS,Q8,QRLCF_07L8_X43,4,40,7,0.22,49,7,LQNCE_08L8_EH847,LQNCE_08L8_TT847,QRLCF_07L8_CV943,QRLCF_07L8_CV947,QRLBA_09L8_PT961,QRLBA_09L8_PT991,QRLCF_07L8_TT943,QRLBA_09L8_TT961,QRLCF_07L8_QBS947,QRLCF_07L8_FT947,LQNCE_08L8_TC847,QRLCF_07L8_TC943
418,78,LSS,Q7,QRLCF_07L8_X45,4,13.5,7,0.22,35,7,LQNFI_07L8_EH845,LQNFI_07L8_TT845,QRLCF_07L8_CV945,0,QRLBA_09L8_PT961,QRLBA_09L8_PT991,QRLCF_07L8_TT945,QRLBA_09L8_TT961,QRLCF_07L8_QBS945,QRLCF_07L8_FT945,LQNFI_07L8_TC845,QRLCF_07L8_TC945
419,78,LSS,Q6,QRLEA_06L8_X47,4,24,7,0.21,0,34,LQNLB_06L8_EH847,LQNLB_06L8_TT847A,QRLEA_06L8_CV947,0,QRLEA_06L8_PT961,QRLEA_06L8_PT991,QRLEA_06L8_TT947,QRLEA_06L8_TT961,QRLEA_06L8_QBS947,QRLEA_06L8_FT947,LQNLB_06L8_TC847,QRLEA_06L8_TC947
420,78,LSS,Q5,QRLEA_05L8_X47,4,26,12,0.22,0,38,LQNMA_05L8_EH847,LQNMA_05L8_TT847A,QRLEA_05L8_CV947,0,QRLEA_05L8_PT961,QRLEA_05L8_PT991,QRLEA_05L8_TT947,QRLEA_05L8_TT961,QRLEA_05L8_QBS947,QRLEA_05L8_FT947,LQNMA_05L8_TC847,QRLEA_05L8_TC947
421,78,LSS,D2Q4,QRLFE_04L8_X47,4,45,6,0.13,0,47,LQYEB_04L8_EH847,LQYEB_04L8_TT847A,QRLFE_04L8_CV947,0,QRLFE_04L8_PT961,QRLFE_04L8_PT991,QRLFE_04L8_TT947,QRLFE_04L8_TT961,QRLFE_04L8_QBS947,QRLFE_04L8_FT947,LQYEB_04L8_TC847,QRLFE_04L8_TC947
422,78,LSS,Q1Q2Q3,QRLGF_03L8_X47,2,45,7,0.26,35,9,LQXAB_01L8_EH847,LQXAB_01L8_TT847A,QRLGF_03L8_CV947,0,QRLGF_03L8_PT961,QRLGF_03L8_PT991,QRLGF_03L8_TT947,QRLGF_03L8_TT961,QRLGF_03L8_QBS947,QRLGF_03L8_FT947,LQXAB_01L8_TC847,QRLGF_03L8_TC947
423,81,LSS,Q1Q2Q3,QRLGE_03R8_X47,2,45,7,0.26,35,9,LQXAA_01R8_EH847,LQXAA_01R8_TT847A,QRLGE_03R8_CV947,0,QRLGE_03R8_PT961,QRLGE_03R8_PT991,QRLGE_03R8_TT947,QRLGE_03R8_TT961,QRLGE_03R8_QBS947,QRLGE_03R8_FT947,LQXAA_01R8_TC847,QRLGE_03R8_TC947
424,81,LSS,D2Q4,QRLFF_04R8_X47,4,45,2,0.17,0,53,LQYED_04R8_EH847,LQYED_04R8_TT847A,QRLFF_04R8_CV947,0,QRLFF_04R8_PT961,QRLFF_04R8_PT991,QRLFF_04R8_TT947,QRLFF_04R8_TT961,QRLFF_04R8_QBS947,QRLFF_04R8_FT947,LQYED_04R8_TC847,QRLFF_04R8_TC947
425,81,LSS,Q5,QRLEA_05R8_X47,4,26,2,0.36,0,22,LQYFC_05R8_EH847,LQYFC_05R8_TT847A,QRLEA_05R8_CV947,0,QRLEA_05R8_PT961,QRLEA_05R8_PT991,QRLEA_05R8_TT947,QRLEA_05R8_TT961,QRLEA_05R8_QBS947,QRLEA_05R8_FT947,LQYFC_05R8_TC847,QRLEA_05R8_TC947
426,81,LSS,Q6,QRLDE_06R8_X47,4,24,11,0.32,0,33,LQNLF_06R8_EH847,LQNLF_06R8_TT847A,QRLDE_06R8_CV947,0,QRLDE_06R8_PT961,QRLDE_06R8_PT991,QRLDE_06R8_TT947,QRLDE_06R8_TT961,QRLDE_06R8_QBS947,QRLDE_06R8_FT947,LQNLF_06R8_TC847,QRLDE_06R8_TC947
427,81,LSS,Q7,QRLCA_07R8_X43,4,40,7,0.22,29,12,LBBLF_08R8_EH843,LBBLF_08R8_TT843,QRLCA_07R8_CV943,QRLCA_07R8_CV947,QRLBA_09R8_PT961,QRLBA_09R8_PT991,QRLCA_07R8_TT943,QRLBA_09R8_TT961,QRLCA_07R8_QBS943,QRLCA_07R8_FT943,LBBLF_08R8_TC843,QRLCA_07R8_TC943
428,81,ARC,Q8,QRLBA_09R8_X47,4,45,7,0.39,38,9,LQNCB_08R8_EH847,LQNCB_08R8_TT847,QRLBA_09R8_CV947,0,QRLBA_09R8_PT961,QRLBA_09R8_PT991,QRLBA_09R8_TT947,QRLBA_09R8_TT961,QRLBA_09R8_QBS947,QRLBA_09R8_FT947,LQNCB_08R8_TC847,QRLBA_09R8_TC947
429,81,ARC,Q9,QRLBA_09R8_X43,4,45,7,0.39,33,9,LBBLF_10R8_EH843,LBBLF_10R8_TT843,QRLBA_09R8_CV943,0,QRLBA_09R8_PT961,QRLBA_09R8_PT991,QRLBA_09R8_TT943,QRLBA_09R8_TT961,QRLBA_09R8_QBS943,QRLBA_09R8_FT943,LBBLF_10R8_TC843,QRLBA_09R8_TC943
430,81,ARC,Q10,QRLAB_11R8_X47,4,45,7,0.39,39,9,LQNCB_10R8_EH847,LQNCB_10R8_TT847,QRLAB_11R8_CV947,0,QRLBA_09R8_PT961,QRLBA_09R8_PT991,QRLAB_11R8_TT947,QRLBA_09R8_TT961,QRLAB_11R8_QBS947,QRLAB_11R8_FT947,LQNCB_10R8_TC847,QRLAB_11R8_TC947
431,81,ARC,Q11,QRLAB_11R8_X43,4,53,7,0.39,31,9,LBALB_12R8_EH843,LBALB_12R8_TT843,QRLAB_11R8_CV943,0,QRLAA_13R8_PT961,QRLAA_13R8_PT991,QRLAB_11R8_TT943,QRLAA_13R8_TT961,QRLAB_11R8_QBS943,QRLAB_11R8_FT943,LBALB_12R8_TC843,QRLAB_11R8_TC943
432,81,ARC,Q12,QRLAA_13R8_X47,4,53,7,0.39,34,9,LQATI_12R8_EH847,LQATI_12R8_TT847,QRLAA_13R8_CV947,0,QRLAA_13R8_PT961,QRLAA_13R8_PT991,QRLAA_13R8_TT947,QRLAA_13R8_TT961,QRLAA_13R8_QBS947,QRLAA_13R8_FT947,LQATI_12R8_TC847,QRLAA_13R8_TC947
433,81,ARC,Q13,QRLAA_13R8_X43,4,53,7,0.39,40,9,LBALB_14R8_EH843,LBALB_14R8_TT843,QRLAA_13R8_CV943,0,QRLAA_13R8_PT961,QRLAA_13R8_PT991,QRLAA_13R8_TT943,QRLAA_13R8_TT961,QRLAA_13R8_QBS943,QRLAA_13R8_FT943,LBALB_14R8_TC843,QRLAA_13R8_TC943
434,81,ARC,Q14,QRLAB_15R8_X47,4,53,7,0.39,35,9,LQATI_14R8_EH847,LQATI_14R8_TT847,QRLAB_15R8_CV947,0,QRLAA_13R8_PT961,QRLAA_13R8_PT991,QRLAB_15R8_TT947,QRLAA_13R8_TT961,QRLAB_15R8_QBS947,QRLAB_15R8_FT947,LQATI_14R8_TC847,QRLAB_15R8_TC947
435,81,ARC,Q15,QRLAB_15R8_X43,4,53,7,0.39,32,9,LBALB_16R8_EH843,LBALB_16R8_TT843,QRLAB_15R8_CV943,0,QRLAA_17R8_PT961,QRLAA_17R8_PT991,QRLAB_15R8_TT943,QRLAA_17R8_TT961,QRLAB_15R8_QBS943,QRLAB_15R8_FT943,LBALB_16R8_TC843,QRLAB_15R8_TC943
436,81,ARC,Q16,QRLAA_17R8_X47,4,53,7,0.39,34,9,LQATI_16R8_EH847,LQATI_16R8_TT847,QRLAA_17R8_CV947,0,QRLAA_17R8_PT961,QRLAA_17R8_PT991,QRLAA_17R8_TT947,QRLAA_17R8_TT961,QRLAA_17R8_QBS947,QRLAA_17R8_FT947,LQATI_16R8_TC847,QRLAA_17R8_TC947
437,81,ARC,Q17,QRLAA_17R8_X43,4,53,7,0.39,38,9,LBALB_18R8_EH843,LBALB_18R8_TT843,QRLAA_17R8_CV943,0,QRLAA_17R8_PT961,QRLAA_17R8_PT991,QRLAA_17R8_TT943,QRLAA_17R8_TT961,QRLAA_17R8_QBS943,QRLAA_17R8_FT943,LBALB_18R8_TC843,QRLAA_17R8_TC943
438,81,ARC,Q18,QRLAB_19R8_X47,4,53,7,0.39,39,10,LQATI_18R8_EH847,LQATI_18R8_TT847,QRLAB_19R8_CV947,0,QRLAA_17R8_PT961,QRLAA_17R8_PT991,QRLAB_19R8_TT947,QRLAA_17R8_TT961,QRLAB_19R8_QBS947,QRLAB_19R8_FT947,LQATI_18R8_TC847,QRLAB_19R8_TC947
439,81,ARC,Q19,QRLAB_19R8_X43,4,53,7,0.39,31,10,LBALB_20R8_EH843,LBALB_20R8_TT843,QRLAB_19R8_CV943,0,QRLAA_21R8_PT961,QRLAA_21R8_PT991,QRLAB_19R8_TT943,QRLAA_21R8_TT961,QRLAB_19R8_QBS943,QRLAB_19R8_FT943,LBALB_20R8_TC843,QRLAB_19R8_TC943
440,81,ARC,Q20,QRLAA_21R8_X47,4,53,7,0.39,39,9,LQATI_20R8_EH847,LQATI_20R8_TT847,QRLAA_21R8_CV947,0,QRLAA_21R8_PT961,QRLAA_21R8_PT991,QRLAA_21R8_TT947,QRLAA_21R8_TT961,QRLAA_21R8_QBS947,QRLAA_21R8_FT947,LQATI_20R8_TC847,QRLAA_21R8_TC947
441,81,ARC,Q21,QRLAA_21R8_X43,4,53,7,0.39,38,9,LBALB_22R8_EH843,LBALB_22R8_TT843,QRLAA_21R8_CV943,0,QRLAA_21R8_PT961,QRLAA_21R8_PT991,QRLAA_21R8_TT943,QRLAA_21R8_TT961,QRLAA_21R8_QBS943,QRLAA_21R8_FT943,LBALB_22R8_TC843,QRLAA_21R8_TC943
442,81,ARC,Q22,QRLAB_23R8_X47,4,53,7,0.39,41,9,LQOAH_22R8_EH847,LQOAH_22R8_TT847,QRLAB_23R8_CV947,0,QRLAA_21R8_PT961,QRLAA_21R8_PT991,QRLAB_23R8_TT947,QRLAA_21R8_TT961,QRLAB_23R8_QBS947,QRLAB_23R8_FT947,LQOAH_22R8_TC847,QRLAB_23R8_TC947
443,81,ARC,Q23,QRLAB_23R8_X43,4,53,7,0.39,37,8,LBALB_24R8_EH843,LBALB_24R8_TT843,QRLAB_23R8_CV943,0,QRLAA_25R8_PT961,QRLAA_25R8_PT991,QRLAB_23R8_TT943,QRLAA_25R8_TT961,QRLAB_23R8_QBS943,QRLAB_23R8_FT943,LBALB_24R8_TC843,QRLAB_23R8_TC943
444,81,ARC,Q24,QRLAA_25R8_X47,4,53,7,0.39,41,9,LQOAH_24R8_EH847,LQOAH_24R8_TT847,QRLAA_25R8_CV947,0,QRLAA_25R8_PT961,QRLAA_25R8_PT991,QRLAA_25R8_TT947,QRLAA_25R8_TT961,QRLAA_25R8_QBS947,QRLAA_25R8_FT947,LQOAH_24R8_TC847,QRLAA_25R8_TC947
445,81,ARC,Q25,QRLAA_25R8_X43,4,53,7,0.39,27,9,LBALB_26R8_EH843,LBALB_26R8_TT843,QRLAA_25R8_CV943,0,QRLAA_25R8_PT961,QRLAA_25R8_PT991,QRLAA_25R8_TT943,QRLAA_25R8_TT961,QRLAA_25R8_QBS943,QRLAA_25R8_FT943,LBALB_26R8_TC843,QRLAA_25R8_TC943
446,81,ARC,Q26,QRLAB_27R8_X47,4,53,7,0.39,25,8,LQOAH_26R8_EH847,LQOAH_26R8_TT847,QRLAB_27R8_CV947,0,QRLAA_25R8_PT961,QRLAA_25R8_PT991,QRLAB_27R8_TT947,QRLAA_25R8_TT961,QRLAB_27R8_QBS947,QRLAB_27R8_FT947,LQOAH_26R8_TC847,QRLAB_27R8_TC947
447,81,ARC,Q27,QRLAB_27R8_X43,4,53,7,0.39,35,10,LBALB_28R8_EH843,LBALB_28R8_TT843,QRLAB_27R8_CV943,0,QRLAA_29R8_PT961,QRLAA_29R8_PT991,QRLAB_27R8_TT943,QRLAA_29R8_TT961,QRLAB_27R8_QBS943,QRLAB_27R8_FT943,LBALB_28R8_TC843,QRLAB_27R8_TC943
448,81,ARC,Q28,QRLAA_29R8_X47,4,53,7,0.39,34,9,LQOAH_28R8_EH847,LQOAH_28R8_TT847,QRLAA_29R8_CV947,0,QRLAA_29R8_PT961,QRLAA_29R8_PT991,QRLAA_29R8_TT947,QRLAA_29R8_TT961,QRLAA_29R8_QBS947,QRLAA_29R8_FT947,LQOAH_28R8_TC847,QRLAA_29R8_TC947
449,81,ARC,Q29,QRLAA_29R8_X43,4,53,7,0.39,33,9,LBALB_30R8_EH843,LBALB_30R8_TT843,QRLAA_29R8_CV943,0,QRLAA_29R8_PT961,QRLAA_29R8_PT991,QRLAA_29R8_TT943,QRLAA_29R8_TT961,QRLAA_29R8_QBS943,QRLAA_29R8_FT943,LBALB_30R8_TC843,QRLAA_29R8_TC943
450,81,ARC,Q30,QRLAC_31R8_X47,4,53,7,0.39,43,10,LQOAN_30R8_EH847,LQOAN_30R8_TT847,QRLAC_31R8_CV947,0,QRLAA_29R8_PT961,QRLAA_29R8_PT991,QRLAC_31R8_TT947,QRLAA_29R8_TT961,QRLAC_31R8_QBS947,QRLAC_31R8_FT947,LQOAN_30R8_TC847,QRLAC_31R8_TC947
451,81,ARC,Q31,QRLAC_31R8_X43,4,53,7,0.39,32,10,LBALB_32R8_EH843,LBALB_32R8_TT843,QRLAC_31R8_CV943,0,QRLAA_33L1_PT961,QRLAA_33L1_PT991,QRLAC_31R8_TT943,QRLAA_33L1_TT961,QRLAC_31R8_QBS943,QRLAC_31R8_FT943,LBALB_32R8_TC843,QRLAC_31R8_TC943
452,81,ARC,Q32,QRLAD_33R8_X47,4,53,7,0.39,33,9,LQOAH_32R8_EH847,LQOAH_32R8_TT847,QRLAD_33R8_CV947,0,QRLAA_33L1_PT961,QRLAA_33L1_PT991,QRLAD_33R8_TT947,QRLAA_33L1_TT961,QRLAD_33R8_QBS947,QRLAD_33R8_FT947,LQOAH_32R8_TC847,QRLAD_33R8_TC947
453,81,ARC,Q33,QRLAD_33R8_X43,4,53,7,0.39,37,9,LBALB_34R8_EH843,LBALB_34R8_TT843,QRLAD_33R8_CV943,0,QRLAA_33L1_PT961,QRLAA_33L1_PT991,QRLAD_33R8_TT943,QRLAA_33L1_TT961,QRLAD_33R8_QBS943,QRLAD_33R8_FT943,LBALB_34R8_TC843,QRLAD_33R8_TC943
454,81,ARC,Q34,QRLAA_33L1_X47,4,53,7,0.39,37,8,LQOAN_34R8_EH847,LQOAN_34R8_TT847,QRLAA_33L1_CV947,0,QRLAA_33L1_PT961,QRLAA_33L1_PT991,QRLAA_33L1_TT947,QRLAA_33L1_TT961,QRLAA_33L1_QBS947,QRLAA_33L1_FT947,LQOAN_34R8_TC847,QRLAA_33L1_TC947
