Nb,Sector,Type,magnet,Loop,QEH,T2,CV1,CV2,P1,P4,T3,T1,QS,R,Kvmax,nc,L,Qbs,MassFlow,TC84x,TC94x,rms rel error
358,67,ARC,Q10,QRLBA_09L7_X47,LQTCO_10L7_EH847.POSST,LQTCO_10L7_TT847.POSST,QRLBA_09L7_CV947.POSST,0,QRLBA_09L7_PT961.POSST,QRLBA_09L7_PT991.POSST,QRLBA_09L7_TT947.POSST,QRLBA_09L7_TT961.POSST,5,50,0.39,4,45,QRLBA_09L7_QBS947.POSST,QRLBA_09L7_FT947.POSST,LQTCO_10L7_TC847,QRLBA_09L7_TC947,1
359,67,ARC,Q9,QRLBA_09L7_X43,LBBRB_09L7_EH843.POSST,LBBRB_09L7_TT843.POSST,QRLBA_09L7_CV943.POSST,0,QRLBA_09L7_PT961.POSST,QRLBA_09L7_PT991.POSST,QRLBA_09L7_TT943.POSST,QRLBA_09L7_TT961.POSST,5,34,0.39,4,45,QRLBA_09L7_QBS943.POSST,QRLBA_09L7_FT943.POSST,LBBRB_09L7_TC843,QRLBA_09L7_TC943,4
360,67,LSS,Q8,QRLCC_07L7_X43,LQTCO_08L7_EH847.POSST,LQTCO_08L7_TT847.POSST,QRLCC_07L7_CV943.POSST,QRLCC_07L7_CV947.POSST,QRLBA_09L7_PT961.POSST,QRLBA_09L7_PT991.POSST,QRLCC_07L7_TT943.POSST,QRLBA_09L7_TT961.POSST,2,50,0.22,4,40,QRLCC_07L7_QBS947.POSST,QRLCC_07L7_FT947.POSST,LQTCO_08L7_TC847,QRLCC_07L7_TC943,x
361,67,LSS,Q7,QRLCC_07L7_X45,LQTAD_07L7_EH845.POSST,LQTAD_07L7_TT845.POSST,QRLCC_07L7_CV945.POSST,0,QRLBA_09L7_PT961.POSST,QRLBA_09L7_PT991.POSST,QRLCC_07L7_TT945.POSST,QRLBA_09L7_TT961.POSST,2,50,0.22,4,13.5,QRLCC_07L7_QBS945.POSST,QRLCC_07L7_FT945.POSST,LQTAD_07L7_TC845,QRLCC_07L7_TC945,x
362,67,LSS,Q6,QRLEA_06L7_X47,LQTFA_06L7_EH847.POSST,LQTFA_06L7_TT847A.POSST,QRLEA_06L7_CV947.POSST,0,QRLEA_06L7_PT961.POSST,QRLEA_06L7_PT991.POSST,QRLEA_06L7_TT947.POSST,QRLEA_06L7_TT961.POSST,14,100,0.05,2,24,QRLEA_06L7_QBS947.POSST,QRLEA_06L7_FT947.POSST,LQTFA_06L7_TC847,QRLEA_06L7_TC947,37
363,78,LSS,Q6,QRLEA_06R7_X47,LQTFB_06R7_EH847.POSST,LQTFB_06R7_TT847A.POSST,QRLEA_06R7_CV947.POSST,0,QRLEA_06R7_PT961.POSST,QRLEA_06R7_PT991.POSST,QRLEA_06R7_TT947.POSST,QRLEA_06R7_TT961.POSST,0,100,0.05,2,24,QRLEA_06R7_QBS947.POSST,QRLEA_06R7_FT947.POSST,LQTFB_06R7_TC847,QRLEA_06R7_TC947,3
364,78,LSS,Q7,QRLCH_07R7_X43,LBBRB_08R7_EH843.POSST,LBBRB_08R7_TT843.POSST,QRLCH_07R7_CV943.POSST,QRLCH_07R7_CV947.POSST,QRLBA_09R7_PT961.POSST,QRLBA_09R7_PT991.POSST,QRLCH_07R7_TT943.POSST,QRLBA_09R7_TT961.POSST,7,50,0.26,4,40,QRLCH_07R7_QBS943.POSST,QRLCH_07R7_FT943.POSST,LBBRB_08R7_TC843,QRLCH_07R7_TC943,x
365,78,ARC,Q8,QRLBA_09R7_X47,LQTBB_08R7_EH847.POSST,LQTBB_08R7_TT847.POSST,QRLBA_09R7_CV947.POSST,0,QRLBA_09R7_PT961.POSST,QRLBA_09R7_PT991.POSST,QRLBA_09R7_TT947.POSST,QRLBA_09R7_TT961.POSST,5,39,0.39,4,45,QRLBA_09R7_QBS947.POSST,QRLBA_09R7_FT947.POSST,LQTBB_08R7_TC847,QRLBA_09R7_TC947,2
366,78,ARC,Q9,QRLBA_09R7_X43,LBBRB_10R7_EH843.POSST,LBBRB_10R7_TT843.POSST,QRLBA_09R7_CV943.POSST,0,QRLBA_09R7_PT961.POSST,QRLBA_09R7_PT991.POSST,QRLBA_09R7_TT943.POSST,QRLBA_09R7_TT961.POSST,5,46,0.39,4,45,QRLBA_09R7_QBS943.POSST,QRLBA_09R7_FT943.POSST,LBBRB_10R7_TC843,QRLBA_09R7_TC943,7
367,78,ARC,Q10,QRLAB_11R7_X47,LQTBB_10R7_EH847.POSST,LQTBB_10R7_TT847.POSST,QRLAB_11R7_CV947.POSST,0,QRLBA_09R7_PT961.POSST,QRLBA_09R7_PT991.POSST,QRLAB_11R7_TT947.POSST,QRLBA_09R7_TT961.POSST,5,52,0.39,4,45,QRLAB_11R7_QBS947.POSST,QRLAB_11R7_FT947.POSST,LQTBB_10R7_TC847,QRLAB_11R7_TC947,17
