Nb,Sector,Type,magnet,Loop,QEH,T2,CV1,CV2,P1,P4,T3,T1,QS,R,Kvmax,nc,L,Qbs,MassFlow,TC84x,TC94x,rms rel error
404,78,ARC,Q21,QRLAA_21L8_X43,LBARB_21L8_EH843.POSST,LBARB_21L8_TT843.POSST,QRLAA_21L8_CV943.POSST,0,QRLAA_21L8_PT961.POSST,QRLAA_21L8_PT991.POSST,QRLAA_21L8_TT943.POSST,QRLAA_21L8_TT961.POSST,5,30,0.39,4,53,QRLAA_21L8_QBS943.POSST,QRLAA_21L8_FT943.POSST,LBARB_21L8_TC843,QRLAA_21L8_TC943,1
405,78,ARC,Q20,QRLAB_19L8_X47,LQATH_20L8_EH847.POSST,LQATH_20L8_TT847.POSST,QRLAB_19L8_CV947.POSST,0,QRLAA_21L8_PT961.POSST,QRLAA_21L8_PT991.POSST,QRLAB_19L8_TT947.POSST,QRLAA_21L8_TT961.POSST,5,54,0.39,4,53,QRLAB_19L8_QBS947.POSST,QRLAB_19L8_FT947.POSST,LQATH_20L8_TC847,QRLAB_19L8_TC947,16
406,78,ARC,Q19,QRLAB_19L8_X43,LBARB_19L8_EH843.POSST,LBARB_19L8_TT843.POSST,QRLAB_19L8_CV943.POSST,0,QRLAA_17L8_PT961.POSST,QRLAA_17L8_PT991.POSST,QRLAB_19L8_TT943.POSST,QRLAA_17L8_TT961.POSST,5,52,0.39,4,53,QRLAB_19L8_QBS943.POSST,QRLAB_19L8_FT943.POSST,LBARB_19L8_TC843,QRLAB_19L8_TC943,7
407,78,ARC,Q18,QRLAA_17L8_X47,LQATH_18L8_EH847.POSST,LQATH_18L8_TT847.POSST,QRLAA_17L8_CV947.POSST,0,QRLAA_17L8_PT961.POSST,QRLAA_17L8_PT991.POSST,QRLAA_17L8_TT947.POSST,QRLAA_17L8_TT961.POSST,5,30,0.39,4,53,QRLAA_17L8_QBS947.POSST,QRLAA_17L8_FT947.POSST,LQATH_18L8_TC847,QRLAA_17L8_TC947,11
408,78,ARC,Q17,QRLAA_17L8_X43,LBARB_17L8_EH843.POSST,LBARB_17L8_TT843.POSST,QRLAA_17L8_CV943.POSST,0,QRLAA_17L8_PT961.POSST,QRLAA_17L8_PT991.POSST,QRLAA_17L8_TT943.POSST,QRLAA_17L8_TT961.POSST,5,45,0.39,4,53,QRLAA_17L8_QBS943.POSST,QRLAA_17L8_FT943.POSST,LBARB_17L8_TC843,QRLAA_17L8_TC943,0
409,78,ARC,Q16,QRLAB_15L8_X47,LQATH_16L8_EH847.POSST,LQATH_16L8_TT847.POSST,QRLAB_15L8_CV947.POSST,0,QRLAA_17L8_PT961.POSST,QRLAA_17L8_PT991.POSST,QRLAB_15L8_TT947.POSST,QRLAA_17L8_TT961.POSST,5,40,0.39,4,53,QRLAB_15L8_QBS947.POSST,QRLAB_15L8_FT947.POSST,LQATH_16L8_TC847,QRLAB_15L8_TC947,14
410,78,ARC,Q15,QRLAB_15L8_X43,LBARB_15L8_EH843.POSST,LBARB_15L8_TT843.POSST,QRLAB_15L8_CV943.POSST,0,QRLAA_13L8_PT961.POSST,QRLAA_13L8_PT991.POSST,QRLAB_15L8_TT943.POSST,QRLAA_13L8_TT961.POSST,5,49,0.39,4,53,QRLAB_15L8_QBS943.POSST,QRLAB_15L8_FT943.POSST,LBARB_15L8_TC843,QRLAB_15L8_TC943,16
411,78,ARC,Q14,QRLAA_13L8_X47,LQATH_14L8_EH847.POSST,LQATH_14L8_TT847.POSST,QRLAA_13L8_CV947.POSST,0,QRLAA_13L8_PT961.POSST,QRLAA_13L8_PT991.POSST,QRLAA_13L8_TT947.POSST,QRLAA_13L8_TT961.POSST,5,41,0.39,4,53,QRLAA_13L8_QBS947.POSST,QRLAA_13L8_FT947.POSST,LQATH_14L8_TC847,QRLAA_13L8_TC947,3
412,78,ARC,Q13,QRLAA_13L8_X43,LBARB_13L8_EH843.POSST,LBARB_13L8_TT843.POSST,QRLAA_13L8_CV943.POSST,0,QRLAA_13L8_PT961.POSST,QRLAA_13L8_PT991.POSST,QRLAA_13L8_TT943.POSST,QRLAA_13L8_TT961.POSST,5,40,0.39,4,53,QRLAA_13L8_QBS943.POSST,QRLAA_13L8_FT943.POSST,LBARB_13L8_TC843,QRLAA_13L8_TC943,7
413,78,ARC,Q12,QRLAB_11L8_X47,LQATH_12L8_EH847.POSST,LQATH_12L8_TT847.POSST,QRLAB_11L8_CV947.POSST,0,QRLAA_13L8_PT961.POSST,QRLAA_13L8_PT991.POSST,QRLAB_11L8_TT947.POSST,QRLAA_13L8_TT961.POSST,5,44,0.39,4,53,QRLAB_11L8_QBS947.POSST,QRLAB_11L8_FT947.POSST,LQATH_12L8_TC847,QRLAB_11L8_TC947,1
414,78,ARC,Q11,QRLAB_11L8_X43,LBBRP_11L8_EH843.POSST,LBBRP_11L8_TT843.POSST,QRLAB_11L8_CV943.POSST,0,QRLBA_09L8_PT961.POSST,QRLBA_09L8_PT991.POSST,QRLAB_11L8_TT943.POSST,QRLBA_09L8_TT961.POSST,5,50,0.39,4,45,QRLAB_11L8_QBS943.POSST,QRLAB_11L8_FT943.POSST,LBBRP_11L8_TC843,QRLAB_11L8_TC943,8
415,78,ARC,Q10,QRLBA_09L8_X47,LQNCE_10L8_EH847.POSST,LQNCE_10L8_TT847.POSST,QRLBA_09L8_CV947.POSST,0,QRLBA_09L8_PT961.POSST,QRLBA_09L8_PT991.POSST,QRLBA_09L8_TT947.POSST,QRLBA_09L8_TT961.POSST,5,53,0.39,4,45,QRLBA_09L8_QBS947.POSST,QRLBA_09L8_FT947.POSST,LQNCE_10L8_TC847,QRLBA_09L8_TC947,10
416,78,ARC,Q9,QRLBA_09L8_X43,LBBRF_09L8_EH843.POSST,LBBRF_09L8_TT843.POSST,QRLBA_09L8_CV943.POSST,0,QRLBA_09L8_PT961.POSST,QRLBA_09L8_PT991.POSST,QRLBA_09L8_TT943.POSST,QRLBA_09L8_TT961.POSST,5,44,0.39,4,45,QRLBA_09L8_QBS943.POSST,QRLBA_09L8_FT943.POSST,LBBRF_09L8_TC843,QRLBA_09L8_TC943,5
417,78,LSS,Q8,QRLCF_07L8_X43,LQNCE_08L8_EH847.POSST,LQNCE_08L8_TT847.POSST,QRLCF_07L8_CV943.POSST,QRLCF_07L8_CV947.POSST,QRLBA_09L8_PT961.POSST,QRLBA_09L8_PT991.POSST,QRLCF_07L8_TT943.POSST,QRLBA_09L8_TT961.POSST,7,50,0.22,4,40,QRLCF_07L8_QBS947.POSST,QRLCF_07L8_FT947.POSST,LQNCE_08L8_TC847,QRLCF_07L8_TC943,x
418,78,LSS,Q7,QRLCF_07L8_X45,LQNFI_07L8_EH845.POSST,LQNFI_07L8_TT845.POSST,QRLCF_07L8_CV945.POSST,0,QRLBA_09L8_PT961.POSST,QRLBA_09L8_PT991.POSST,QRLCF_07L8_TT945.POSST,QRLBA_09L8_TT961.POSST,7,50,0.22,4,13.5,QRLCF_07L8_QBS945.POSST,QRLCF_07L8_FT945.POSST,LQNFI_07L8_TC845,QRLCF_07L8_TC945,x
419,78,LSS,Q6,QRLEA_06L8_X47,LQNLB_06L8_EH847.POSST,LQNLB_06L8_TT847A.POSST,QRLEA_06L8_CV947.POSST,0,QRLEA_06L8_PT961.POSST,QRLEA_06L8_PT991.POSST,QRLEA_06L8_TT947.POSST,QRLEA_06L8_TT961.POSST,0,10,0.05,2,24,QRLEA_06L8_QBS947.POSST,QRLEA_06L8_FT947.POSST,LQNLB_06L8_TC847,QRLEA_06L8_TC947,20
420,78,LSS,Q5,QRLEA_05L8_X47,LQNMA_05L8_EH847.POSST,LQNMA_05L8_TT847A.POSST,QRLEA_05L8_CV947.POSST,0,QRLEA_05L8_PT961.POSST,QRLEA_05L8_PT991.POSST,QRLEA_05L8_TT947.POSST,QRLEA_05L8_TT961.POSST,0,10,0.05,2,26,QRLEA_05L8_QBS947.POSST,QRLEA_05L8_FT947.POSST,LQNMA_05L8_TC847,QRLEA_05L8_TC947,62
421,78,LSS,D2Q4,QRLFE_04L8_X47,LQYEB_04L8_EH847.POSST,LQYEB_04L8_TT847A.POSST,QRLFE_04L8_CV947.POSST,0,QRLFE_04L8_PT961.POSST,QRLFE_04L8_PT991.POSST,QRLFE_04L8_TT947.POSST,QRLFE_04L8_TT961.POSST,10,40,0.1,2,45,QRLFE_04L8_QBS947.POSST,QRLFE_04L8_FT947.POSST,LQYEB_04L8_TC847,QRLFE_04L8_TC947,4
422,78,LSS,Q1Q2Q3,QRLGF_03L8_X47,LQXAB_01L8_EH847.POSST,LQXAB_01L8_TT847A.POSST,QRLGF_03L8_CV947.POSST,0,QRLGF_03L8_PT961.POSST,QRLGF_03L8_PT991.POSST,QRLGF_03L8_TT947.POSST,QRLGF_03L8_TT961.POSST,0,55,0.26,2,45,QRLGF_03L8_QBS947.POSST,QRLGF_03L8_FT947.POSST,LQXAB_01L8_TC847,QRLGF_03L8_TC947,25
423,81,LSS,Q1Q2Q3,QRLGE_03R8_X47,LQXAA_01R8_EH847.POSST,LQXAA_01R8_TT847A.POSST,QRLGE_03R8_CV947.POSST,0,QRLGE_03R8_PT961.POSST,QRLGE_03R8_PT991.POSST,QRLGE_03R8_TT947.POSST,QRLGE_03R8_TT961.POSST,5,40,0.26,2,45,QRLGE_03R8_QBS947.POSST,QRLGE_03R8_FT947.POSST,LQXAA_01R8_TC847,QRLGE_03R8_TC947,20
424,81,LSS,D2Q4,QRLFF_04R8_X47,LQYED_04R8_EH847.POSST,LQYED_04R8_TT847A.POSST,QRLFF_04R8_CV947.POSST,0,QRLFF_04R8_PT961.POSST,QRLFF_04R8_PT991.POSST,QRLFF_04R8_TT947.POSST,QRLFF_04R8_TT961.POSST,0,80,0.1,2,45,QRLFF_04R8_QBS947.POSST,QRLFF_04R8_FT947.POSST,LQYED_04R8_TC847,QRLFF_04R8_TC947,5
425,81,LSS,Q5,QRLEA_05R8_X47,LQYFC_05R8_EH847.POSST,LQYFC_05R8_TT847A.POSST,QRLEA_05R8_CV947.POSST,0,QRLEA_05R8_PT961.POSST,QRLEA_05R8_PT991.POSST,QRLEA_05R8_TT947.POSST,QRLEA_05R8_TT961.POSST,0,10,0.05,2,26,QRLEA_05R8_QBS947.POSST,QRLEA_05R8_FT947.POSST,LQYFC_05R8_TC847,QRLEA_05R8_TC947,55
426,81,LSS,Q6,QRLDE_06R8_X47,LQNLF_06R8_EH847.POSST,LQNLF_06R8_TT847A.POSST,QRLDE_06R8_CV947.POSST,0,QRLDE_06R8_PT961.POSST,QRLDE_06R8_PT991.POSST,QRLDE_06R8_TT947.POSST,QRLDE_06R8_TT961.POSST,0,20,0.05,2,24,QRLDE_06R8_QBS947.POSST,QRLDE_06R8_FT947.POSST,LQNLF_06R8_TC847,QRLDE_06R8_TC947,40
427,81,LSS,Q7,QRLCA_07R8_X43,LBBLF_08R8_EH843.POSST,LBBLF_08R8_TT843.POSST,QRLCA_07R8_CV943.POSST,QRLCA_07R8_CV947.POSST,QRLBA_09R8_PT961.POSST,QRLBA_09R8_PT991.POSST,QRLCA_07R8_TT943.POSST,QRLBA_09R8_TT961.POSST,7,30,0.22,4,40,QRLCA_07R8_QBS943.POSST,QRLCA_07R8_FT943.POSST,LBBLF_08R8_TC843,QRLCA_07R8_TC943,x
428,81,ARC,Q8,QRLBA_09R8_X47,LQNCB_08R8_EH847.POSST,LQNCB_08R8_TT847.POSST,QRLBA_09R8_CV947.POSST,0,QRLBA_09R8_PT961.POSST,QRLBA_09R8_PT991.POSST,QRLBA_09R8_TT947.POSST,QRLBA_09R8_TT961.POSST,5,46,0.39,4,45,QRLBA_09R8_QBS947.POSST,QRLBA_09R8_FT947.POSST,LQNCB_08R8_TC847,QRLBA_09R8_TC947,14
429,81,ARC,Q9,QRLBA_09R8_X43,LBBLF_10R8_EH843.POSST,LBBLF_10R8_TT843.POSST,QRLBA_09R8_CV943.POSST,0,QRLBA_09R8_PT961.POSST,QRLBA_09R8_PT991.POSST,QRLBA_09R8_TT943.POSST,QRLBA_09R8_TT961.POSST,5,37,0.39,4,45,QRLBA_09R8_QBS943.POSST,QRLBA_09R8_FT943.POSST,LBBLF_10R8_TC843,QRLBA_09R8_TC943,2
430,81,ARC,Q10,QRLAB_11R8_X47,LQNCB_10R8_EH847.POSST,LQNCB_10R8_TT847.POSST,QRLAB_11R8_CV947.POSST,0,QRLBA_09R8_PT961.POSST,QRLBA_09R8_PT991.POSST,QRLAB_11R8_TT947.POSST,QRLBA_09R8_TT961.POSST,5,48,0.39,4,45,QRLAB_11R8_QBS947.POSST,QRLAB_11R8_FT947.POSST,LQNCB_10R8_TC847,QRLAB_11R8_TC947,5
431,81,ARC,Q11,QRLAB_11R8_X43,LBALB_12R8_EH843.POSST,LBALB_12R8_TT843.POSST,QRLAB_11R8_CV943.POSST,0,QRLAA_13R8_PT961.POSST,QRLAA_13R8_PT991.POSST,QRLAB_11R8_TT943.POSST,QRLAA_13R8_TT961.POSST,5,38,0.39,4,53,QRLAB_11R8_QBS943.POSST,QRLAB_11R8_FT943.POSST,LBALB_12R8_TC843,QRLAB_11R8_TC943,2
432,81,ARC,Q12,QRLAA_13R8_X47,LQATI_12R8_EH847.POSST,LQATI_12R8_TT847.POSST,QRLAA_13R8_CV947.POSST,0,QRLAA_13R8_PT961.POSST,QRLAA_13R8_PT991.POSST,QRLAA_13R8_TT947.POSST,QRLAA_13R8_TT961.POSST,5,42,0.39,4,53,QRLAA_13R8_QBS947.POSST,QRLAA_13R8_FT947.POSST,LQATI_12R8_TC847,QRLAA_13R8_TC947,7
433,81,ARC,Q13,QRLAA_13R8_X43,LBALB_14R8_EH843.POSST,LBALB_14R8_TT843.POSST,QRLAA_13R8_CV943.POSST,0,QRLAA_13R8_PT961.POSST,QRLAA_13R8_PT991.POSST,QRLAA_13R8_TT943.POSST,QRLAA_13R8_TT961.POSST,5,49,0.39,4,53,QRLAA_13R8_QBS943.POSST,QRLAA_13R8_FT943.POSST,LBALB_14R8_TC843,QRLAA_13R8_TC943,11
434,81,ARC,Q14,QRLAB_15R8_X47,LQATI_14R8_EH847.POSST,LQATI_14R8_TT847.POSST,QRLAB_15R8_CV947.POSST,0,QRLAA_13R8_PT961.POSST,QRLAA_13R8_PT991.POSST,QRLAB_15R8_TT947.POSST,QRLAA_13R8_TT961.POSST,5,42,0.39,4,53,QRLAB_15R8_QBS947.POSST,QRLAB_15R8_FT947.POSST,LQATI_14R8_TC847,QRLAB_15R8_TC947,4
435,81,ARC,Q15,QRLAB_15R8_X43,LBALB_16R8_EH843.POSST,LBALB_16R8_TT843.POSST,QRLAB_15R8_CV943.POSST,0,QRLAA_17R8_PT961.POSST,QRLAA_17R8_PT991.POSST,QRLAB_15R8_TT943.POSST,QRLAA_17R8_TT961.POSST,5,45,0.39,4,53,QRLAB_15R8_QBS943.POSST,QRLAB_15R8_FT943.POSST,LBALB_16R8_TC843,QRLAB_15R8_TC943,6
436,81,ARC,Q16,QRLAA_17R8_X47,LQATI_16R8_EH847.POSST,LQATI_16R8_TT847.POSST,QRLAA_17R8_CV947.POSST,0,QRLAA_17R8_PT961.POSST,QRLAA_17R8_PT991.POSST,QRLAA_17R8_TT947.POSST,QRLAA_17R8_TT961.POSST,5,49,0.39,4,53,QRLAA_17R8_QBS947.POSST,QRLAA_17R8_FT947.POSST,LQATI_16R8_TC847,QRLAA_17R8_TC947,13
437,81,ARC,Q17,QRLAA_17R8_X43,LBALB_18R8_EH843.POSST,LBALB_18R8_TT843.POSST,QRLAA_17R8_CV943.POSST,0,QRLAA_17R8_PT961.POSST,QRLAA_17R8_PT991.POSST,QRLAA_17R8_TT943.POSST,QRLAA_17R8_TT961.POSST,5,47,0.39,4,53,QRLAA_17R8_QBS943.POSST,QRLAA_17R8_FT943.POSST,LBALB_18R8_TC843,QRLAA_17R8_TC943,0
438,81,ARC,Q18,QRLAB_19R8_X47,LQATI_18R8_EH847.POSST,LQATI_18R8_TT847.POSST,QRLAB_19R8_CV947.POSST,0,QRLAA_17R8_PT961.POSST,QRLAA_17R8_PT991.POSST,QRLAB_19R8_TT947.POSST,QRLAA_17R8_TT961.POSST,5,44,0.39,4,53,QRLAB_19R8_QBS947.POSST,QRLAB_19R8_FT947.POSST,LQATI_18R8_TC847,QRLAB_19R8_TC947,17
439,81,ARC,Q19,QRLAB_19R8_X43,LBALB_20R8_EH843.POSST,LBALB_20R8_TT843.POSST,QRLAB_19R8_CV943.POSST,0,QRLAA_21R8_PT961.POSST,QRLAA_21R8_PT991.POSST,QRLAB_19R8_TT943.POSST,QRLAA_21R8_TT961.POSST,5,42,0.39,4,53,QRLAB_19R8_QBS943.POSST,QRLAB_19R8_FT943.POSST,LBALB_20R8_TC843,QRLAB_19R8_TC943,16
440,81,ARC,Q20,QRLAA_21R8_X47,LQATI_20R8_EH847.POSST,LQATI_20R8_TT847.POSST,QRLAA_21R8_CV947.POSST,0,QRLAA_21R8_PT961.POSST,QRLAA_21R8_PT991.POSST,QRLAA_21R8_TT947.POSST,QRLAA_21R8_TT961.POSST,5,47,0.39,4,53,QRLAA_21R8_QBS947.POSST,QRLAA_21R8_FT947.POSST,LQATI_20R8_TC847,QRLAA_21R8_TC947,14
441,81,ARC,Q21,QRLAA_21R8_X43,LBALB_22R8_EH843.POSST,LBALB_22R8_TT843.POSST,QRLAA_21R8_CV943.POSST,0,QRLAA_21R8_PT961.POSST,QRLAA_21R8_PT991.POSST,QRLAA_21R8_TT943.POSST,QRLAA_21R8_TT961.POSST,5,46,0.39,4,53,QRLAA_21R8_QBS943.POSST,QRLAA_21R8_FT943.POSST,LBALB_22R8_TC843,QRLAA_21R8_TC943,2
442,81,ARC,Q22,QRLAB_23R8_X47,LQOAH_22R8_EH847.POSST,LQOAH_22R8_TT847.POSST,QRLAB_23R8_CV947.POSST,0,QRLAA_21R8_PT961.POSST,QRLAA_21R8_PT991.POSST,QRLAB_23R8_TT947.POSST,QRLAA_21R8_TT961.POSST,5,49,0.39,4,53,QRLAB_23R8_QBS947.POSST,QRLAB_23R8_FT947.POSST,LQOAH_22R8_TC847,QRLAB_23R8_TC947,14
443,81,ARC,Q23,QRLAB_23R8_X43,LBALB_24R8_EH843.POSST,LBALB_24R8_TT843.POSST,QRLAB_23R8_CV943.POSST,0,QRLAA_25R8_PT961.POSST,QRLAA_25R8_PT991.POSST,QRLAB_23R8_TT943.POSST,QRLAA_25R8_TT961.POSST,5,47,0.39,4,53,QRLAB_23R8_QBS943.POSST,QRLAB_23R8_FT943.POSST,LBALB_24R8_TC843,QRLAB_23R8_TC943,8
444,81,ARC,Q24,QRLAA_25R8_X47,LQOAH_24R8_EH847.POSST,LQOAH_24R8_TT847.POSST,QRLAA_25R8_CV947.POSST,0,QRLAA_25R8_PT961.POSST,QRLAA_25R8_PT991.POSST,QRLAA_25R8_TT947.POSST,QRLAA_25R8_TT961.POSST,5,53,0.39,4,53,QRLAA_25R8_QBS947.POSST,QRLAA_25R8_FT947.POSST,LQOAH_24R8_TC847,QRLAA_25R8_TC947,1
445,81,ARC,Q25,QRLAA_25R8_X43,LBALB_26R8_EH843.POSST,LBALB_26R8_TT843.POSST,QRLAA_25R8_CV943.POSST,0,QRLAA_25R8_PT961.POSST,QRLAA_25R8_PT991.POSST,QRLAA_25R8_TT943.POSST,QRLAA_25R8_TT961.POSST,5,35,0.39,4,53,QRLAA_25R8_QBS943.POSST,QRLAA_25R8_FT943.POSST,LBALB_26R8_TC843,QRLAA_25R8_TC943,4
446,81,ARC,Q26,QRLAB_27R8_X47,LQOAH_26R8_EH847.POSST,LQOAH_26R8_TT847.POSST,QRLAB_27R8_CV947.POSST,0,QRLAA_25R8_PT961.POSST,QRLAA_25R8_PT991.POSST,QRLAB_27R8_TT947.POSST,QRLAA_25R8_TT961.POSST,5,31,0.39,4,53,QRLAB_27R8_QBS947.POSST,QRLAB_27R8_FT947.POSST,LQOAH_26R8_TC847,QRLAB_27R8_TC947,4
447,81,ARC,Q27,QRLAB_27R8_X43,LBALB_28R8_EH843.POSST,LBALB_28R8_TT843.POSST,QRLAB_27R8_CV943.POSST,0,QRLAA_29R8_PT961.POSST,QRLAA_29R8_PT991.POSST,QRLAB_27R8_TT943.POSST,QRLAA_29R8_TT961.POSST,5,38,0.39,4,53,QRLAB_27R8_QBS943.POSST,QRLAB_27R8_FT943.POSST,LBALB_28R8_TC843,QRLAB_27R8_TC943,2
448,81,ARC,Q28,QRLAA_29R8_X47,LQOAH_28R8_EH847.POSST,LQOAH_28R8_TT847.POSST,QRLAA_29R8_CV947.POSST,0,QRLAA_29R8_PT961.POSST,QRLAA_29R8_PT991.POSST,QRLAA_29R8_TT947.POSST,QRLAA_29R8_TT961.POSST,5,41,0.39,4,53,QRLAA_29R8_QBS947.POSST,QRLAA_29R8_FT947.POSST,LQOAH_28R8_TC847,QRLAA_29R8_TC947,5
449,81,ARC,Q29,QRLAA_29R8_X43,LBALB_30R8_EH843.POSST,LBALB_30R8_TT843.POSST,QRLAA_29R8_CV943.POSST,0,QRLAA_29R8_PT961.POSST,QRLAA_29R8_PT991.POSST,QRLAA_29R8_TT943.POSST,QRLAA_29R8_TT961.POSST,5,44,0.39,4,53,QRLAA_29R8_QBS943.POSST,QRLAA_29R8_FT943.POSST,LBALB_30R8_TC843,QRLAA_29R8_TC943,7
450,81,ARC,Q30,QRLAC_31R8_X47,LQOAN_30R8_EH847.POSST,LQOAN_30R8_TT847.POSST,QRLAC_31R8_CV947.POSST,0,QRLAA_29R8_PT961.POSST,QRLAA_29R8_PT991.POSST,QRLAC_31R8_TT947.POSST,QRLAA_29R8_TT961.POSST,5,94,0.39,4,53,QRLAC_31R8_QBS947.POSST,QRLAC_31R8_FT947.POSST,LQOAN_30R8_TC847,QRLAC_31R8_TC947,0
451,81,ARC,Q31,QRLAC_31R8_X43,LBALB_32R8_EH843.POSST,LBALB_32R8_TT843.POSST,QRLAC_31R8_CV943.POSST,0,QRLAA_33L1_PT961.POSST,QRLAA_33L1_PT991.POSST,QRLAC_31R8_TT943.POSST,QRLAA_33L1_TT961.POSST,5,55,0.39,4,53,QRLAC_31R8_QBS943.POSST,QRLAC_31R8_FT943.POSST,LBALB_32R8_TC843,QRLAC_31R8_TC943,19
452,81,ARC,Q32,QRLAD_33R8_X47,LQOAH_32R8_EH847.POSST,LQOAH_32R8_TT847.POSST,QRLAD_33R8_CV947.POSST,0,QRLAA_33L1_PT961.POSST,QRLAA_33L1_PT991.POSST,QRLAD_33R8_TT947.POSST,QRLAA_33L1_TT961.POSST,5,40,0.39,4,53,QRLAD_33R8_QBS947.POSST,QRLAD_33R8_FT947.POSST,LQOAH_32R8_TC847,QRLAD_33R8_TC947,7
453,81,ARC,Q33,QRLAD_33R8_X43,LBALB_34R8_EH843.POSST,LBALB_34R8_TT843.POSST,QRLAD_33R8_CV943.POSST,0,QRLAA_33L1_PT961.POSST,QRLAA_33L1_PT991.POSST,QRLAD_33R8_TT943.POSST,QRLAA_33L1_TT961.POSST,5,40,0.39,4,53,QRLAD_33R8_QBS943.POSST,QRLAD_33R8_FT943.POSST,LBALB_34R8_TC843,QRLAD_33R8_TC943,12
454,81,ARC,Q34,QRLAA_33L1_X47,LQOAN_34R8_EH847.POSST,LQOAN_34R8_TT847.POSST,QRLAA_33L1_CV947.POSST,0,QRLAA_33L1_PT961.POSST,QRLAA_33L1_PT991.POSST,QRLAA_33L1_TT947.POSST,QRLAA_33L1_TT961.POSST,5,44,0.39,4,53,QRLAA_33L1_QBS947.POSST,QRLAA_33L1_FT947.POSST,LQOAN_34R8_TC847,QRLAA_33L1_TC947,1
455,81,ARC,Q33,QRLAA_33L1_X43,LBALB_33L1_EH843.POSST,LBALB_33L1_TT843.POSST,QRLAA_33L1_CV943.POSST,0,QRLAA_33L1_PT961.POSST,QRLAA_33L1_PT991.POSST,QRLAA_33L1_TT943.POSST,QRLAA_33L1_TT961.POSST,5,39,0.39,4,53,QRLAA_33L1_QBS943.POSST,QRLAA_33L1_FT943.POSST,LBALB_33L1_TC843,QRLAA_33L1_TC943,12
456,81,ARC,Q32,QRLAB_31L1_X47,LQOAN_32L1_EH847.POSST,LQOAN_32L1_TT847.POSST,QRLAB_31L1_CV947.POSST,0,QRLAA_33L1_PT961.POSST,QRLAA_33L1_PT991.POSST,QRLAB_31L1_TT947.POSST,QRLAA_33L1_TT961.POSST,5,41,0.39,4,53,QRLAB_31L1_QBS947.POSST,QRLAB_31L1_FT947.POSST,LQOAN_32L1_TC847,QRLAB_31L1_TC947,1
457,81,ARC,Q31,QRLAB_31L1_X43,LBALB_31L1_EH843.POSST,LBALB_31L1_TT843.POSST,QRLAB_31L1_CV943.POSST,0,QRLAA_29L1_PT961.POSST,QRLAA_29L1_PT991.POSST,QRLAB_31L1_TT943.POSST,QRLAA_29L1_TT961.POSST,5,40,0.39,4,53,QRLAB_31L1_QBS943.POSST,QRLAB_31L1_FT943.POSST,LBALB_31L1_TC843,QRLAB_31L1_TC943,18
458,81,ARC,Q30,QRLAA_29L1_X47,LQOAH_30L1_EH847.POSST,LQOAH_30L1_TT847.POSST,QRLAA_29L1_CV947.POSST,0,QRLAA_29L1_PT961.POSST,QRLAA_29L1_PT991.POSST,QRLAA_29L1_TT947.POSST,QRLAA_29L1_TT961.POSST,5,40,0.39,4,53,QRLAA_29L1_QBS947.POSST,QRLAA_29L1_FT947.POSST,LQOAH_30L1_TC847,QRLAA_29L1_TC947,6
459,81,ARC,Q29,QRLAA_29L1_X43,LBALB_29L1_EH843.POSST,LBALB_29L1_TT843.POSST,QRLAA_29L1_CV943.POSST,0,QRLAA_29L1_PT961.POSST,QRLAA_29L1_PT991.POSST,QRLAA_29L1_TT943.POSST,QRLAA_29L1_TT961.POSST,5,59,0.39,4,53,QRLAA_29L1_QBS943.POSST,QRLAA_29L1_FT943.POSST,LBALB_29L1_TC843,QRLAA_29L1_TC943,13
460,81,ARC,Q28,QRLAB_27L1_X47,LQOAN_28L1_EH847.POSST,LQOAN_28L1_TT847.POSST,QRLAB_27L1_CV947.POSST,0,QRLAA_29L1_PT961.POSST,QRLAA_29L1_PT991.POSST,QRLAB_27L1_TT947.POSST,QRLAA_29L1_TT961.POSST,5,49,0.39,4,53,QRLAB_27L1_QBS947.POSST,QRLAB_27L1_FT947.POSST,LQOAN_28L1_TC847,QRLAB_27L1_TC947,12
461,81,ARC,Q27,QRLAB_27L1_X43,LBALB_27L1_EH843.POSST,LBALB_27L1_TT843.POSST,QRLAB_27L1_CV943.POSST,0,QRLAA_25L1_PT961.POSST,QRLAA_25L1_PT991.POSST,QRLAB_27L1_TT943.POSST,QRLAA_25L1_TT961.POSST,5,38,0.39,4,53,QRLAB_27L1_QBS943.POSST,QRLAB_27L1_FT943.POSST,LBALB_27L1_TC843,QRLAB_27L1_TC943,1
462,81,ARC,Q26,QRLAA_25L1_X47,LQOAH_26L1_EH847.POSST,LQOAH_26L1_TT847.POSST,QRLAA_25L1_CV947.POSST,0,QRLAA_25L1_PT961.POSST,QRLAA_25L1_PT991.POSST,QRLAA_25L1_TT947.POSST,QRLAA_25L1_TT961.POSST,5,42,0.39,4,53,QRLAA_25L1_QBS947.POSST,QRLAA_25L1_FT947.POSST,LQOAH_26L1_TC847,QRLAA_25L1_TC947,4
463,81,ARC,Q25,QRLAA_25L1_X43,LBALB_25L1_EH843.POSST,LBALB_25L1_TT843.POSST,QRLAA_25L1_CV943.POSST,0,QRLAA_25L1_PT961.POSST,QRLAA_25L1_PT991.POSST,QRLAA_25L1_TT943.POSST,QRLAA_25L1_TT961.POSST,5,53,0.39,4,53,QRLAA_25L1_QBS943.POSST,QRLAA_25L1_FT943.POSST,LBALB_25L1_TC843,QRLAA_25L1_TC943,2
