Nb,Sector,Type,magnet,Loop,QEH,T2,CV1,CV2,P1,P4,T3,T1,QS,R,Kvmax,nc,L,Qbs,MassFlow
337,67,ARC,Q31,QRLAB_31L7_X43,LBARB_31L7_EH843.POSST,LBARB_31L7_TT843.POSST,QRLAB_31L7_CV943.POSST,0,QRLAA_29L7_PT961.POSST,QRLAA_29L7_PT991.POSST,QRLAB_31L7_TT943.POSST,QRLAA_29L7_TT961.POSST,7,38,0.39,4,53,QRLAB_31L7_QBS943.POSST,QRLAB_31L7_FT943.POSST
338,67,ARC,Q30,QRLAA_29L7_X47,LQOBB_30L7_EH847.POSST,LQOBB_30L7_TT847.POSST,QRLAA_29L7_CV947.POSST,0,QRLAA_29L7_PT961.POSST,QRLAA_29L7_PT991.POSST,QRLAA_29L7_TT947.POSST,QRLAA_29L7_TT961.POSST,7,38,0.39,4,53,QRLAA_29L7_QBS947.POSST,QRLAA_29L7_FT947.POSST
339,67,ARC,Q29,QRLAA_29L7_X43,LBARB_29L7_EH843.POSST,LBARB_29L7_TT843.POSST,QRLAA_29L7_CV943.POSST,0,QRLAA_29L7_PT961.POSST,QRLAA_29L7_PT991.POSST,QRLAA_29L7_TT943.POSST,QRLAA_29L7_TT961.POSST,7,38,0.39,4,53,QRLAA_29L7_QBS943.POSST,QRLAA_29L7_FT943.POSST
340,67,ARC,Q28,QRLAB_27L7_X47,LQOBL_28L7_EH847.POSST,LQOBL_28L7_TT847.POSST,QRLAB_27L7_CV947.POSST,0,QRLAA_29L7_PT961.POSST,QRLAA_29L7_PT991.POSST,QRLAB_27L7_TT947.POSST,QRLAA_29L7_TT961.POSST,7,38,0.39,4,53,QRLAB_27L7_QBS947.POSST,QRLAB_27L7_FT947.POSST
341,67,ARC,Q27,QRLAB_27L7_X43,LBARB_27L7_EH843.POSST,LBARB_27L7_TT843.POSST,QRLAB_27L7_CV943.POSST,0,QRLAA_25L7_PT961.POSST,QRLAA_25L7_PT991.POSST,QRLAB_27L7_TT943.POSST,QRLAA_25L7_TT961.POSST,7,38,0.39,4,53,QRLAB_27L7_QBS943.POSST,QRLAB_27L7_FT943.POSST
342,67,ARC,Q26,QRLAA_25L7_X47,LQOBB_26L7_EH847.POSST,LQOBB_26L7_TT847.POSST,QRLAA_25L7_CV947.POSST,0,QRLAA_25L7_PT961.POSST,QRLAA_25L7_PT991.POSST,QRLAA_25L7_TT947.POSST,QRLAA_25L7_TT961.POSST,7,38,0.39,4,53,QRLAA_25L7_QBS947.POSST,QRLAA_25L7_FT947.POSST
343,67,ARC,Q25,QRLAA_25L7_X43,LBARB_25L7_EH843.POSST,LBARB_25L7_TT843.POSST,QRLAA_25L7_CV943.POSST,0,QRLAA_25L7_PT961.POSST,QRLAA_25L7_PT991.POSST,QRLAA_25L7_TT943.POSST,QRLAA_25L7_TT961.POSST,7,38,0.39,4,53,QRLAA_25L7_QBS943.POSST,QRLAA_25L7_FT943.POSST
344,67,ARC,Q24,QRLAB_23L7_X47,LQOBB_24L7_EH847.POSST,LQOBB_24L7_TT847.POSST,QRLAB_23L7_CV947.POSST,0,QRLAA_25L7_PT961.POSST,QRLAA_25L7_PT991.POSST,QRLAB_23L7_TT947.POSST,QRLAA_25L7_TT961.POSST,7,38,0.39,4,53,QRLAB_23L7_QBS947.POSST,QRLAB_23L7_FT947.POSST
345,67,ARC,Q23,QRLAB_23L7_X43,LBARB_23L7_EH843.POSST,LBARB_23L7_TT843.POSST,QRLAB_23L7_CV943.POSST,0,QRLAA_21L7_PT961.POSST,QRLAA_21L7_PT991.POSST,QRLAB_23L7_TT943.POSST,QRLAA_21L7_TT961.POSST,7,38,0.39,4,53,QRLAB_23L7_QBS943.POSST,QRLAB_23L7_FT943.POSST
346,67,ARC,Q22,QRLAA_21L7_X47,LQOBB_22L7_EH847.POSST,LQOBB_22L7_TT847.POSST,QRLAA_21L7_CV947.POSST,0,QRLAA_21L7_PT961.POSST,QRLAA_21L7_PT991.POSST,QRLAA_21L7_TT947.POSST,QRLAA_21L7_TT961.POSST,7,38,0.39,4,53,QRLAA_21L7_QBS947.POSST,QRLAA_21L7_FT947.POSST
347,67,ARC,Q21,QRLAA_21L7_X43,LBARB_21L7_EH843.POSST,LBARB_21L7_TT843.POSST,QRLAA_21L7_CV943.POSST,0,QRLAA_21L7_PT961.POSST,QRLAA_21L7_PT991.POSST,QRLAA_21L7_TT943.POSST,QRLAA_21L7_TT961.POSST,7,38,0.39,4,53,QRLAA_21L7_QBS943.POSST,QRLAA_21L7_FT943.POSST
348,67,ARC,Q20,QRLAB_19L7_X47,LQATT_20L7_EH847.POSST,LQATT_20L7_TT847.POSST,QRLAB_19L7_CV947.POSST,0,QRLAA_21L7_PT961.POSST,QRLAA_21L7_PT991.POSST,QRLAB_19L7_TT947.POSST,QRLAA_21L7_TT961.POSST,7,38,0.39,4,53,QRLAB_19L7_QBS947.POSST,QRLAB_19L7_FT947.POSST
349,67,ARC,Q19,QRLAB_19L7_X43,LBARB_19L7_EH843.POSST,LBARB_19L7_TT843.POSST,QRLAB_19L7_CV943.POSST,0,QRLAA_17L7_PT961.POSST,QRLAA_17L7_PT991.POSST,QRLAB_19L7_TT943.POSST,QRLAA_17L7_TT961.POSST,7,38,0.39,4,53,QRLAB_19L7_QBS943.POSST,QRLAB_19L7_FT943.POSST
350,67,ARC,Q18,QRLAA_17L7_X47,LQATT_18L7_EH847.POSST,LQATT_18L7_TT847.POSST,QRLAA_17L7_CV947.POSST,0,QRLAA_17L7_PT961.POSST,QRLAA_17L7_PT991.POSST,QRLAA_17L7_TT947.POSST,QRLAA_17L7_TT961.POSST,7,38,0.39,4,53,QRLAA_17L7_QBS947.POSST,QRLAA_17L7_FT947.POSST
351,67,ARC,Q17,QRLAA_17L7_X43,LBARB_17L7_EH843.POSST,LBARB_17L7_TT843.POSST,QRLAA_17L7_CV943.POSST,0,QRLAA_17L7_PT961.POSST,QRLAA_17L7_PT991.POSST,QRLAA_17L7_TT943.POSST,QRLAA_17L7_TT961.POSST,7,38,0.39,4,53,QRLAA_17L7_QBS943.POSST,QRLAA_17L7_FT943.POSST
352,67,ARC,Q16,QRLAB_15L7_X47,LQATT_16L7_EH847.POSST,LQATT_16L7_TT847.POSST,QRLAB_15L7_CV947.POSST,0,QRLAA_17L7_PT961.POSST,QRLAA_17L7_PT991.POSST,QRLAB_15L7_TT947.POSST,QRLAA_17L7_TT961.POSST,7,38,0.39,4,53,QRLAB_15L7_QBS947.POSST,QRLAB_15L7_FT947.POSST
353,67,ARC,Q15,QRLAB_15L7_X43,LBARB_15L7_EH843.POSST,LBARB_15L7_TT843.POSST,QRLAB_15L7_CV943.POSST,0,QRLAA_13L7_PT961.POSST,QRLAA_13L7_PT991.POSST,QRLAB_15L7_TT943.POSST,QRLAA_13L7_TT961.POSST,7,38,0.39,4,53,QRLAB_15L7_QBS943.POSST,QRLAB_15L7_FT943.POSST
354,67,ARC,Q14,QRLAA_13L7_X47,LQATT_14L7_EH847.POSST,LQATT_14L7_TT847.POSST,QRLAA_13L7_CV947.POSST,0,QRLAA_13L7_PT961.POSST,QRLAA_13L7_PT991.POSST,QRLAA_13L7_TT947.POSST,QRLAA_13L7_TT961.POSST,7,38,0.39,4,53,QRLAA_13L7_QBS947.POSST,QRLAA_13L7_FT947.POSST
355,67,ARC,Q13,QRLAA_13L7_X43,LBARB_13L7_EH843.POSST,LBARB_13L7_TT843.POSST,QRLAA_13L7_CV943.POSST,0,QRLAA_13L7_PT961.POSST,QRLAA_13L7_PT991.POSST,QRLAA_13L7_TT943.POSST,QRLAA_13L7_TT961.POSST,7,38,0.39,4,53,QRLAA_13L7_QBS943.POSST,QRLAA_13L7_FT943.POSST
356,67,ARC,Q12,QRLAB_11L7_X47,LQATT_12L7_EH847.POSST,LQATT_12L7_TT847.POSST,QRLAB_11L7_CV947.POSST,0,QRLAA_13L7_PT961.POSST,QRLAA_13L7_PT991.POSST,QRLAB_11L7_TT947.POSST,QRLAA_13L7_TT961.POSST,7,38,0.39,4,53,QRLAB_11L7_QBS947.POSST,QRLAB_11L7_FT947.POSST
357,67,ARC,Q11,QRLAB_11L7_X43,LBBRB_11L7_EH843.POSST,LBBRB_11L7_TT843.POSST,QRLAB_11L7_CV943.POSST,0,QRLBA_09L7_PT961.POSST,QRLBA_09L7_PT991.POSST,QRLAB_11L7_TT943.POSST,QRLBA_09L7_TT961.POSST,7,38,0.39,4,45,QRLAB_11L7_QBS943.POSST,QRLAB_11L7_FT943.POSST
358,67,ARC,Q10,QRLBA_09L7_X47,LQTCO_10L7_EH847.POSST,LQTCO_10L7_TT847.POSST,QRLBA_09L7_CV947.POSST,0,QRLBA_09L7_PT961.POSST,QRLBA_09L7_PT991.POSST,QRLBA_09L7_TT947.POSST,QRLBA_09L7_TT961.POSST,7,38,0.39,4,45,QRLBA_09L7_QBS947.POSST,QRLBA_09L7_FT947.POSST
359,67,ARC,Q9,QRLBA_09L7_X43,LBBRB_09L7_EH843.POSST,LBBRB_09L7_TT843.POSST,QRLBA_09L7_CV943.POSST,0,QRLBA_09L7_PT961.POSST,QRLBA_09L7_PT991.POSST,QRLBA_09L7_TT943.POSST,QRLBA_09L7_TT961.POSST,7,38,0.39,4,45,QRLBA_09L7_QBS943.POSST,QRLBA_09L7_FT943.POSST
