Nb,Sector,Type,magnet,Loop,QEH,T2,CV1,CV2,P1,P4,T3,T1,QS,R,Kvmax,nc,L,Qbs,MassFlow
386,78,ARC,Q29,QRLAA_29R7_X43,LBARB_30R7_EH843.POSST,LBARB_30R7_TT843.POSST,QRLAA_29R7_CV943.POSST,0,QRLAA_29R7_PT961.POSST,QRLAA_29R7_PT991.POSST,QRLAA_29R7_TT943.POSST,QRLAA_29R7_TT961.POSST,5,40,0.39,4,53,QRLAA_29R7_QBS943.POSST,QRLAA_29R7_FT943.POSST
387,78,ARC,Q30,QRLAC_31R7_X47,LQOAM_30R7_EH847.POSST,LQOAM_30R7_TT847.POSST,QRLAC_31R7_CV947.POSST,0,QRLAA_29R7_PT961.POSST,QRLAA_29R7_PT991.POSST,QRLAC_31R7_TT947.POSST,QRLAA_29R7_TT961.POSST,5,49,0.39,4,53,QRLAC_31R7_QBS947.POSST,QRLAC_31R7_FT947.POSST
388,78,ARC,Q31,QRLAC_31R7_X43,LBARB_32R7_EH843.POSST,LBARB_32R7_TT843.POSST,QRLAC_31R7_CV943.POSST,0,QRLAA_33L8_PT961.POSST,QRLAA_33L8_PT991.POSST,QRLAC_31R7_TT943.POSST,QRLAA_33L8_TT961.POSST,5,39,0.39,4,53,QRLAC_31R7_QBS943.POSST,QRLAC_31R7_FT943.POSST
389,78,ARC,Q32,QRLAD_33R7_X47,LQOAG_32R7_EH847.POSST,LQOAG_32R7_TT847.POSST,QRLAD_33R7_CV947.POSST,0,QRLAA_33L8_PT961.POSST,QRLAA_33L8_PT991.POSST,QRLAD_33R7_TT947.POSST,QRLAA_33L8_TT961.POSST,5,47,0.39,4,53,QRLAD_33R7_QBS947.POSST,QRLAD_33R7_FT947.POSST
390,78,ARC,Q33,QRLAD_33R7_X43,LBARB_34R7_EH843.POSST,LBARB_34R7_TT843.POSST,QRLAD_33R7_CV943.POSST,0,QRLAA_33L8_PT961.POSST,QRLAA_33L8_PT991.POSST,QRLAD_33R7_TT943.POSST,QRLAA_33L8_TT961.POSST,5,36,0.39,4,53,QRLAD_33R7_QBS943.POSST,QRLAD_33R7_FT943.POSST
391,78,ARC,Q34,QRLAA_33L8_X47,LQOAM_34R7_EH847.POSST,LQOAM_34R7_TT847.POSST,QRLAA_33L8_CV947.POSST,0,QRLAA_33L8_PT961.POSST,QRLAA_33L8_PT991.POSST,QRLAA_33L8_TT947.POSST,QRLAA_33L8_TT961.POSST,5,51,0.39,4,53,QRLAA_33L8_QBS947.POSST,QRLAA_33L8_FT947.POSST
392,78,ARC,Q33,QRLAA_33L8_X43,LBARB_33L8_EH843.POSST,LBARB_33L8_TT843.POSST,QRLAA_33L8_CV943.POSST,0,QRLAA_33L8_PT961.POSST,QRLAA_33L8_PT991.POSST,QRLAA_33L8_TT943.POSST,QRLAA_33L8_TT961.POSST,5,44,0.39,4,53,QRLAA_33L8_QBS943.POSST,QRLAA_33L8_FT943.POSST
393,78,ARC,Q32,QRLAB_31L8_X47,LQOAM_32L8_EH847.POSST,LQOAM_32L8_TT847.POSST,QRLAB_31L8_CV947.POSST,0,QRLAA_33L8_PT961.POSST,QRLAA_33L8_PT991.POSST,QRLAB_31L8_TT947.POSST,QRLAA_33L8_TT961.POSST,5,44,0.39,4,53,QRLAB_31L8_QBS947.POSST,QRLAB_31L8_FT947.POSST
394,78,ARC,Q31,QRLAB_31L8_X43,LBARB_31L8_EH843.POSST,LBARB_31L8_TT843.POSST,QRLAB_31L8_CV943.POSST,0,QRLAA_29L8_PT961.POSST,QRLAA_29L8_PT991.POSST,QRLAB_31L8_TT943.POSST,QRLAA_29L8_TT961.POSST,5,46,0.39,4,53,QRLAB_31L8_QBS943.POSST,QRLAB_31L8_FT943.POSST
395,78,ARC,Q30,QRLAA_29L8_X47,LQOAG_30L8_EH847.POSST,LQOAG_30L8_TT847.POSST,QRLAA_29L8_CV947.POSST,0,QRLAA_29L8_PT961.POSST,QRLAA_29L8_PT991.POSST,QRLAA_29L8_TT947.POSST,QRLAA_29L8_TT961.POSST,5,45,0.39,4,53,QRLAA_29L8_QBS947.POSST,QRLAA_29L8_FT947.POSST
396,78,ARC,Q29,QRLAA_29L8_X43,LBARB_29L8_EH843.POSST,LBARB_29L8_TT843.POSST,QRLAA_29L8_CV943.POSST,0,QRLAA_29L8_PT961.POSST,QRLAA_29L8_PT991.POSST,QRLAA_29L8_TT943.POSST,QRLAA_29L8_TT961.POSST,5,58,0.39,4,53,QRLAA_29L8_QBS943.POSST,QRLAA_29L8_FT943.POSST
397,78,ARC,Q28,QRLAB_27L8_X47,LQOAM_28L8_EH847.POSST,LQOAM_28L8_TT847.POSST,QRLAB_27L8_CV947.POSST,0,QRLAA_29L8_PT961.POSST,QRLAA_29L8_PT991.POSST,QRLAB_27L8_TT947.POSST,QRLAA_29L8_TT961.POSST,5,42,0.39,4,53,QRLAB_27L8_QBS947.POSST,QRLAB_27L8_FT947.POSST
398,78,ARC,Q27,QRLAB_27L8_X43,LBARB_27L8_EH843.POSST,LBARB_27L8_TT843.POSST,QRLAB_27L8_CV943.POSST,0,QRLAF_25L8_PT961.POSST,QRLAF_25L8_PT991.POSST,QRLAB_27L8_TT943.POSST,QRLAF_25L8_TT961.POSST,5,38,0.39,4,53,QRLAB_27L8_QBS943.POSST,QRLAB_27L8_FT943.POSST
399,78,ARC,Q26,QRLAF_25L8_X47,LQOAG_26L8_EH847.POSST,LQOAG_26L8_TT847.POSST,QRLAF_25L8_CV947.POSST,0,QRLAF_25L8_PT961.POSST,QRLAF_25L8_PT991.POSST,QRLAF_25L8_TT947.POSST,QRLAF_25L8_TT961.POSST,5,50,0.39,4,53,QRLAF_25L8_QBS947.POSST,QRLAF_25L8_FT947.POSST
400,78,ARC,Q25,QRLAF_25L8_X43,LBARB_25L8_EH843.POSST,LBARB_25L8_TT843.POSST,QRLAF_25L8_CV943.POSST,0,QRLAF_25L8_PT961.POSST,QRLAF_25L8_PT991.POSST,QRLAF_25L8_TT943.POSST,QRLAF_25L8_TT961.POSST,5,39,0.39,4,53,QRLAF_25L8_QBS943.POSST,QRLAF_25L8_FT943.POSST
401,78,ARC,Q24,QRLAB_23L8_X47,LQOAG_24L8_EH847.POSST,LQOAG_24L8_TT847.POSST,QRLAB_23L8_CV947.POSST,0,QRLAF_25L8_PT961.POSST,QRLAF_25L8_PT991.POSST,QRLAB_23L8_TT947.POSST,QRLAF_25L8_TT961.POSST,5,36,0.39,4,53,QRLAB_23L8_QBS947.POSST,QRLAB_23L8_FT947.POSST
402,78,ARC,Q23,QRLAB_23L8_X43,LBARB_23L8_EH843.POSST,LBARB_23L8_TT843.POSST,QRLAB_23L8_CV943.POSST,0,QRLAA_21L8_PT961.POSST,QRLAA_21L8_PT991.POSST,QRLAB_23L8_TT943.POSST,QRLAA_21L8_TT961.POSST,5,43,0.39,4,53,QRLAB_23L8_QBS943.POSST,QRLAB_23L8_FT943.POSST
403,78,ARC,Q22,QRLAA_21L8_X47,LQOAG_22L8_EH847.POSST,LQOAG_22L8_TT847.POSST,QRLAA_21L8_CV947.POSST,0,QRLAA_21L8_PT961.POSST,QRLAA_21L8_PT991.POSST,QRLAA_21L8_TT947.POSST,QRLAA_21L8_TT961.POSST,5,22,0.39,4,53,QRLAA_21L8_QBS947.POSST,QRLAA_21L8_FT947.POSST
404,78,ARC,Q21,QRLAA_21L8_X43,LBARB_21L8_EH843.POSST,LBARB_21L8_TT843.POSST,QRLAA_21L8_CV943.POSST,0,QRLAA_21L8_PT961.POSST,QRLAA_21L8_PT991.POSST,QRLAA_21L8_TT943.POSST,QRLAA_21L8_TT961.POSST,5,30,0.39,4,53,QRLAA_21L8_QBS943.POSST,QRLAA_21L8_FT943.POSST
405,78,ARC,Q20,QRLAB_19L8_X47,LQATH_20L8_EH847.POSST,LQATH_20L8_TT847.POSST,QRLAB_19L8_CV947.POSST,0,QRLAA_21L8_PT961.POSST,QRLAA_21L8_PT991.POSST,QRLAB_19L8_TT947.POSST,QRLAA_21L8_TT961.POSST,5,54,0.39,4,53,QRLAB_19L8_QBS947.POSST,QRLAB_19L8_FT947.POSST
406,78,ARC,Q19,QRLAB_19L8_X43,LBARB_19L8_EH843.POSST,LBARB_19L8_TT843.POSST,QRLAB_19L8_CV943.POSST,0,QRLAA_17L8_PT961.POSST,QRLAA_17L8_PT991.POSST,QRLAB_19L8_TT943.POSST,QRLAA_17L8_TT961.POSST,5,52,0.39,4,53,QRLAB_19L8_QBS943.POSST,QRLAB_19L8_FT943.POSST
407,78,ARC,Q18,QRLAA_17L8_X47,LQATH_18L8_EH847.POSST,LQATH_18L8_TT847.POSST,QRLAA_17L8_CV947.POSST,0,QRLAA_17L8_PT961.POSST,QRLAA_17L8_PT991.POSST,QRLAA_17L8_TT947.POSST,QRLAA_17L8_TT961.POSST,5,30,0.39,4,53,QRLAA_17L8_QBS947.POSST,QRLAA_17L8_FT947.POSST
408,78,ARC,Q17,QRLAA_17L8_X43,LBARB_17L8_EH843.POSST,LBARB_17L8_TT843.POSST,QRLAA_17L8_CV943.POSST,0,QRLAA_17L8_PT961.POSST,QRLAA_17L8_PT991.POSST,QRLAA_17L8_TT943.POSST,QRLAA_17L8_TT961.POSST,5,45,0.39,4,53,QRLAA_17L8_QBS943.POSST,QRLAA_17L8_FT943.POSST
409,78,ARC,Q16,QRLAB_15L8_X47,LQATH_16L8_EH847.POSST,LQATH_16L8_TT847.POSST,QRLAB_15L8_CV947.POSST,0,QRLAA_17L8_PT961.POSST,QRLAA_17L8_PT991.POSST,QRLAB_15L8_TT947.POSST,QRLAA_17L8_TT961.POSST,5,40,0.39,4,53,QRLAB_15L8_QBS947.POSST,QRLAB_15L8_FT947.POSST
410,78,ARC,Q15,QRLAB_15L8_X43,LBARB_15L8_EH843.POSST,LBARB_15L8_TT843.POSST,QRLAB_15L8_CV943.POSST,0,QRLAA_13L8_PT961.POSST,QRLAA_13L8_PT991.POSST,QRLAB_15L8_TT943.POSST,QRLAA_13L8_TT961.POSST,5,49,0.39,4,53,QRLAB_15L8_QBS943.POSST,QRLAB_15L8_FT943.POSST
411,78,ARC,Q14,QRLAA_13L8_X47,LQATH_14L8_EH847.POSST,LQATH_14L8_TT847.POSST,QRLAA_13L8_CV947.POSST,0,QRLAA_13L8_PT961.POSST,QRLAA_13L8_PT991.POSST,QRLAA_13L8_TT947.POSST,QRLAA_13L8_TT961.POSST,5,41,0.39,4,53,QRLAA_13L8_QBS947.POSST,QRLAA_13L8_FT947.POSST
412,78,ARC,Q13,QRLAA_13L8_X43,LBARB_13L8_EH843.POSST,LBARB_13L8_TT843.POSST,QRLAA_13L8_CV943.POSST,0,QRLAA_13L8_PT961.POSST,QRLAA_13L8_PT991.POSST,QRLAA_13L8_TT943.POSST,QRLAA_13L8_TT961.POSST,5,40,0.39,4,53,QRLAA_13L8_QBS943.POSST,QRLAA_13L8_FT943.POSST
413,78,ARC,Q12,QRLAB_11L8_X47,LQATH_12L8_EH847.POSST,LQATH_12L8_TT847.POSST,QRLAB_11L8_CV947.POSST,0,QRLAA_13L8_PT961.POSST,QRLAA_13L8_PT991.POSST,QRLAB_11L8_TT947.POSST,QRLAA_13L8_TT961.POSST,5,44,0.39,4,53,QRLAB_11L8_QBS947.POSST,QRLAB_11L8_FT947.POSST
414,78,ARC,Q11,QRLAB_11L8_X43,LBBRP_11L8_EH843.POSST,LBBRP_11L8_TT843.POSST,QRLAB_11L8_CV943.POSST,0,QRLBA_09L8_PT961.POSST,QRLBA_09L8_PT991.POSST,QRLAB_11L8_TT943.POSST,QRLBA_09L8_TT961.POSST,5,50,0.39,4,45,QRLAB_11L8_QBS943.POSST,QRLAB_11L8_FT943.POSST
415,78,ARC,Q10,QRLBA_09L8_X47,LQNCE_10L8_EH847.POSST,LQNCE_10L8_TT847.POSST,QRLBA_09L8_CV947.POSST,0,QRLBA_09L8_PT961.POSST,QRLBA_09L8_PT991.POSST,QRLBA_09L8_TT947.POSST,QRLBA_09L8_TT961.POSST,5,53,0.39,4,45,QRLBA_09L8_QBS947.POSST,QRLBA_09L8_FT947.POSST
416,78,ARC,Q9,QRLBA_09L8_X43,LBBRF_09L8_EH843.POSST,LBBRF_09L8_TT843.POSST,QRLBA_09L8_CV943.POSST,0,QRLBA_09L8_PT961.POSST,QRLBA_09L8_PT991.POSST,QRLBA_09L8_TT943.POSST,QRLBA_09L8_TT961.POSST,5,44,0.39,4,45,QRLBA_09L8_QBS943.POSST,QRLBA_09L8_FT943.POSST
417,78,LSS,Q8,QRLCF_07L8_X47,LQNCE_08L8_EH847.POSST,LQNCE_08L8_TT847.POSST,QRLCF_07L8_CV947.POSST,QRLCF_07L8_CV943.POSST,QRLBA_09L8_PT961.POSST,QRLBA_09L8_PT991.POSST,QRLCF_07L8_TT947.POSST,QRLBA_09L8_TT961.POSST,7,50,0.22,4,40,QRLCF_07L8_QBS947.POSST,QRLCF_07L8_FT947.POSST
418,78,LSS,Q7,QRLCF_07L8_X45,LQNFI_07L8_EH845.POSST,LQNFI_07L8_TT845.POSST,QRLCF_07L8_CV945.POSST,0,QRLBA_09L8_PT961.POSST,QRLBA_09L8_PT991.POSST,QRLCF_07L8_TT945.POSST,QRLBA_09L8_TT961.POSST,7,50,0.22,4,13.5,QRLCF_07L8_QBS945.POSST,QRLCF_07L8_FT945.POSST
419,78,LSS,Q6,QRLEA_06L8_X47,LQNLB_06L8_EH847.POSST,LQNLB_06L8_TT847A.POSST,QRLEA_06L8_CV947.POSST,0,QRLEA_06L8_PT961.POSST,QRLEA_06L8_PT991.POSST,QRLEA_06L8_TT947.POSST,QRLEA_06L8_TT961.POSST,10,100,0.03,4,12,QRLEA_06L8_QBS947.POSST,QRLEA_06L8_FT947.POSST
420,78,LSS,Q5,QRLEA_05L8_X47,LQNMA_05L8_EH847.POSST,LQNMA_05L8_TT847A.POSST,QRLEA_05L8_CV947.POSST,0,QRLEA_05L8_PT961.POSST,QRLEA_05L8_PT991.POSST,QRLEA_05L8_TT947.POSST,QRLEA_05L8_TT961.POSST,0,100,0.03,4,12.955,QRLEA_05L8_QBS947.POSST,QRLEA_05L8_FT947.POSST
421,78,LSS,D2Q4,QRLFE_04L8_X47,LQYEB_04L8_EH847.POSST,LQYEB_04L8_TT847A.POSST,QRLFE_04L8_CV947.POSST,0,QRLFE_04L8_PT961.POSST,QRLFE_04L8_PT991.POSST,QRLFE_04L8_TT947.POSST,QRLFE_04L8_TT961.POSST,10,40,0.05,4,22.755,QRLFE_04L8_QBS947.POSST,QRLFE_04L8_FT947.POSST
422,78,LSS,Q1Q2Q3,QRLGF_03L8_X47,LQXAB_01L8_EH847.POSST,LQXAB_01L8_TT847A.POSST,QRLGF_03L8_CV947.POSST,0,QRLGF_03L8_PT961.POSST,QRLGF_03L8_PT991.POSST,QRLGF_03L8_TT947.POSST,QRLGF_03L8_TT961.POSST,5,40,0.26,2,45,QRLGF_03L8_QBS947.POSST,QRLGF_03L8_FT947.POSST
423,81,LSS,Q1Q2Q3,QRLGE_03R8_X47,LQXAA_01R8_EH847.POSST,LQXAA_01R8_TT847A.POSST,QRLGE_03R8_CV947.POSST,0,QRLGE_03R8_PT961.POSST,QRLGE_03R8_PT991.POSST,QRLGE_03R8_TT947.POSST,QRLGE_03R8_TT961.POSST,5,40,0.26,2,45,QRLGE_03R8_QBS947.POSST,QRLGE_03R8_FT947.POSST
424,81,LSS,D2Q4,QRLFF_04R8_X47,LQYED_04R8_EH847.POSST,LQYED_04R8_TT847A.POSST,QRLFF_04R8_CV947.POSST,0,QRLFF_04R8_PT961.POSST,QRLFF_04R8_PT991.POSST,QRLFF_04R8_TT947.POSST,QRLFF_04R8_TT961.POSST,7,40,0.05,4,22.755,QRLFF_04R8_QBS947.POSST,QRLFF_04R8_FT947.POSST
425,81,LSS,Q5,QRLEA_05R8_X47,LQYFC_05R8_EH847.POSST,LQYFC_05R8_TT847A.POSST,QRLEA_05R8_CV947.POSST,0,QRLEA_05R8_PT961.POSST,QRLEA_05R8_PT991.POSST,QRLEA_05R8_TT947.POSST,QRLEA_05R8_TT961.POSST,0,100,0.03,4,12.955,QRLEA_05R8_QBS947.POSST,QRLEA_05R8_FT947.POSST
426,81,LSS,Q6,QRLDE_06R8_X47,LQNLF_06R8_EH847.POSST,LQNLF_06R8_TT847A.POSST,QRLDE_06R8_CV947.POSST,0,QRLDE_06R8_PT961.POSST,QRLDE_06R8_PT991.POSST,QRLDE_06R8_TT947.POSST,QRLDE_06R8_TT961.POSST,10,50,0.03,4,12,QRLDE_06R8_QBS947.POSST,QRLDE_06R8_FT947.POSST
427,81,LSS,Q7,QRLCA_07R8_X47,LBBLF_08R8_EH843.POSST,LBBLF_08R8_TT843.POSST,QRLCA_07R8_CV943.POSST,QRLCA_07R8_CV947.POSST,QRLBA_09R8_PT961.POSST,QRLBA_09R8_PT991.POSST,QRLCA_07R8_TT947.POSST,QRLBA_09R8_TT961.POSST,7,30,0.22,4,40,QRLCA_07R8_QBS943.POSST,QRLCA_07R8_FT943.POSST
428,81,ARC,Q8,QRLBA_09R8_X47,LQNCB_08R8_EH847.POSST,LQNCB_08R8_TT847.POSST,QRLBA_09R8_CV947.POSST,0,QRLBA_09R8_PT961.POSST,QRLBA_09R8_PT991.POSST,QRLBA_09R8_TT947.POSST,QRLBA_09R8_TT961.POSST,5,46,0.39,4,45,QRLBA_09R8_QBS947.POSST,QRLBA_09R8_FT947.POSST
429,81,ARC,Q9,QRLBA_09R8_X43,LBBLF_10R8_EH843.POSST,LBBLF_10R8_TT843.POSST,QRLBA_09R8_CV943.POSST,0,QRLBA_09R8_PT961.POSST,QRLBA_09R8_PT991.POSST,QRLBA_09R8_TT943.POSST,QRLBA_09R8_TT961.POSST,5,37,0.39,4,45,QRLBA_09R8_QBS943.POSST,QRLBA_09R8_FT943.POSST
430,81,ARC,Q10,QRLAB_11R8_X47,LQNCB_10R8_EH847.POSST,LQNCB_10R8_TT847.POSST,QRLAB_11R8_CV947.POSST,0,QRLBA_09R8_PT961.POSST,QRLBA_09R8_PT991.POSST,QRLAB_11R8_TT947.POSST,QRLBA_09R8_TT961.POSST,5,48,0.39,4,45,QRLAB_11R8_QBS947.POSST,QRLAB_11R8_FT947.POSST
431,81,ARC,Q11,QRLAB_11R8_X43,LBALB_12R8_EH843.POSST,LBALB_12R8_TT843.POSST,QRLAB_11R8_CV943.POSST,0,QRLAA_13R8_PT961.POSST,QRLAA_13R8_PT991.POSST,QRLAB_11R8_TT943.POSST,QRLAA_13R8_TT961.POSST,5,38,0.39,4,53,QRLAB_11R8_QBS943.POSST,QRLAB_11R8_FT943.POSST
432,81,ARC,Q12,QRLAA_13R8_X47,LQATI_12R8_EH847.POSST,LQATI_12R8_TT847.POSST,QRLAA_13R8_CV947.POSST,0,QRLAA_13R8_PT961.POSST,QRLAA_13R8_PT991.POSST,QRLAA_13R8_TT947.POSST,QRLAA_13R8_TT961.POSST,5,42,0.39,4,53,QRLAA_13R8_QBS947.POSST,QRLAA_13R8_FT947.POSST
433,81,ARC,Q13,QRLAA_13R8_X43,LBALB_14R8_EH843.POSST,LBALB_14R8_TT843.POSST,QRLAA_13R8_CV943.POSST,0,QRLAA_13R8_PT961.POSST,QRLAA_13R8_PT991.POSST,QRLAA_13R8_TT943.POSST,QRLAA_13R8_TT961.POSST,5,49,0.39,4,53,QRLAA_13R8_QBS943.POSST,QRLAA_13R8_FT943.POSST
434,81,ARC,Q14,QRLAB_15R8_X47,LQATI_14R8_EH847.POSST,LQATI_14R8_TT847.POSST,QRLAB_15R8_CV947.POSST,0,QRLAA_13R8_PT961.POSST,QRLAA_13R8_PT991.POSST,QRLAB_15R8_TT947.POSST,QRLAA_13R8_TT961.POSST,5,42,0.39,4,53,QRLAB_15R8_QBS947.POSST,QRLAB_15R8_FT947.POSST
435,81,ARC,Q15,QRLAB_15R8_X43,LBALB_16R8_EH843.POSST,LBALB_16R8_TT843.POSST,QRLAB_15R8_CV943.POSST,0,QRLAA_17R8_PT961.POSST,QRLAA_17R8_PT991.POSST,QRLAB_15R8_TT943.POSST,QRLAA_17R8_TT961.POSST,5,45,0.39,4,53,QRLAB_15R8_QBS943.POSST,QRLAB_15R8_FT943.POSST
436,81,ARC,Q16,QRLAA_17R8_X47,LQATI_16R8_EH847.POSST,LQATI_16R8_TT847.POSST,QRLAA_17R8_CV947.POSST,0,QRLAA_17R8_PT961.POSST,QRLAA_17R8_PT991.POSST,QRLAA_17R8_TT947.POSST,QRLAA_17R8_TT961.POSST,5,49,0.39,4,53,QRLAA_17R8_QBS947.POSST,QRLAA_17R8_FT947.POSST
437,81,ARC,Q17,QRLAA_17R8_X43,LBALB_18R8_EH843.POSST,LBALB_18R8_TT843.POSST,QRLAA_17R8_CV943.POSST,0,QRLAA_17R8_PT961.POSST,QRLAA_17R8_PT991.POSST,QRLAA_17R8_TT943.POSST,QRLAA_17R8_TT961.POSST,5,47,0.39,4,53,QRLAA_17R8_QBS943.POSST,QRLAA_17R8_FT943.POSST
438,81,ARC,Q18,QRLAB_19R8_X47,LQATI_18R8_EH847.POSST,LQATI_18R8_TT847.POSST,QRLAB_19R8_CV947.POSST,0,QRLAA_17R8_PT961.POSST,QRLAA_17R8_PT991.POSST,QRLAB_19R8_TT947.POSST,QRLAA_17R8_TT961.POSST,5,44,0.39,4,53,QRLAB_19R8_QBS947.POSST,QRLAB_19R8_FT947.POSST
439,81,ARC,Q19,QRLAB_19R8_X43,LBALB_20R8_EH843.POSST,LBALB_20R8_TT843.POSST,QRLAB_19R8_CV943.POSST,0,QRLAA_21R8_PT961.POSST,QRLAA_21R8_PT991.POSST,QRLAB_19R8_TT943.POSST,QRLAA_21R8_TT961.POSST,5,42,0.39,4,53,QRLAB_19R8_QBS943.POSST,QRLAB_19R8_FT943.POSST
440,81,ARC,Q20,QRLAA_21R8_X47,LQATI_20R8_EH847.POSST,LQATI_20R8_TT847.POSST,QRLAA_21R8_CV947.POSST,0,QRLAA_21R8_PT961.POSST,QRLAA_21R8_PT991.POSST,QRLAA_21R8_TT947.POSST,QRLAA_21R8_TT961.POSST,5,47,0.39,4,53,QRLAA_21R8_QBS947.POSST,QRLAA_21R8_FT947.POSST
441,81,ARC,Q21,QRLAA_21R8_X43,LBALB_22R8_EH843.POSST,LBALB_22R8_TT843.POSST,QRLAA_21R8_CV943.POSST,0,QRLAA_21R8_PT961.POSST,QRLAA_21R8_PT991.POSST,QRLAA_21R8_TT943.POSST,QRLAA_21R8_TT961.POSST,5,46,0.39,4,53,QRLAA_21R8_QBS943.POSST,QRLAA_21R8_FT943.POSST
442,81,ARC,Q22,QRLAB_23R8_X47,LQOAH_22R8_EH847.POSST,LQOAH_22R8_TT847.POSST,QRLAB_23R8_CV947.POSST,0,QRLAA_21R8_PT961.POSST,QRLAA_21R8_PT991.POSST,QRLAB_23R8_TT947.POSST,QRLAA_21R8_TT961.POSST,5,49,0.39,4,53,QRLAB_23R8_QBS947.POSST,QRLAB_23R8_FT947.POSST
443,81,ARC,Q23,QRLAB_23R8_X43,LBALB_24R8_EH843.POSST,LBALB_24R8_TT843.POSST,QRLAB_23R8_CV943.POSST,0,QRLAA_25R8_PT961.POSST,QRLAA_25R8_PT991.POSST,QRLAB_23R8_TT943.POSST,QRLAA_25R8_TT961.POSST,5,47,0.39,4,53,QRLAB_23R8_QBS943.POSST,QRLAB_23R8_FT943.POSST
444,81,ARC,Q24,QRLAA_25R8_X47,LQOAH_24R8_EH847.POSST,LQOAH_24R8_TT847.POSST,QRLAA_25R8_CV947.POSST,0,QRLAA_25R8_PT961.POSST,QRLAA_25R8_PT991.POSST,QRLAA_25R8_TT947.POSST,QRLAA_25R8_TT961.POSST,5,53,0.39,4,53,QRLAA_25R8_QBS947.POSST,QRLAA_25R8_FT947.POSST
445,81,ARC,Q25,QRLAA_25R8_X43,LBALB_26R8_EH843.POSST,LBALB_26R8_TT843.POSST,QRLAA_25R8_CV943.POSST,0,QRLAA_25R8_PT961.POSST,QRLAA_25R8_PT991.POSST,QRLAA_25R8_TT943.POSST,QRLAA_25R8_TT961.POSST,5,35,0.39,4,53,QRLAA_25R8_QBS943.POSST,QRLAA_25R8_FT943.POSST
446,81,ARC,Q26,QRLAB_27R8_X47,LQOAH_26R8_EH847.POSST,LQOAH_26R8_TT847.POSST,QRLAB_27R8_CV947.POSST,0,QRLAA_25R8_PT961.POSST,QRLAA_25R8_PT991.POSST,QRLAB_27R8_TT947.POSST,QRLAA_25R8_TT961.POSST,5,31,0.39,4,53,QRLAB_27R8_QBS947.POSST,QRLAB_27R8_FT947.POSST
447,81,ARC,Q27,QRLAB_27R8_X43,LBALB_28R8_EH843.POSST,LBALB_28R8_TT843.POSST,QRLAB_27R8_CV943.POSST,0,QRLAA_29R8_PT961.POSST,QRLAA_29R8_PT991.POSST,QRLAB_27R8_TT943.POSST,QRLAA_29R8_TT961.POSST,5,38,0.39,4,53,QRLAB_27R8_QBS943.POSST,QRLAB_27R8_FT943.POSST
448,81,ARC,Q28,QRLAA_29R8_X47,LQOAH_28R8_EH847.POSST,LQOAH_28R8_TT847.POSST,QRLAA_29R8_CV947.POSST,0,QRLAA_29R8_PT961.POSST,QRLAA_29R8_PT991.POSST,QRLAA_29R8_TT947.POSST,QRLAA_29R8_TT961.POSST,5,41,0.39,4,53,QRLAA_29R8_QBS947.POSST,QRLAA_29R8_FT947.POSST
449,81,ARC,Q29,QRLAA_29R8_X43,LBALB_30R8_EH843.POSST,LBALB_30R8_TT843.POSST,QRLAA_29R8_CV943.POSST,0,QRLAA_29R8_PT961.POSST,QRLAA_29R8_PT991.POSST,QRLAA_29R8_TT943.POSST,QRLAA_29R8_TT961.POSST,5,44,0.39,4,53,QRLAA_29R8_QBS943.POSST,QRLAA_29R8_FT943.POSST
450,81,ARC,Q30,QRLAC_31R8_X47,LQOAN_30R8_EH847.POSST,LQOAN_30R8_TT847.POSST,QRLAC_31R8_CV947.POSST,0,QRLAA_29R8_PT961.POSST,QRLAA_29R8_PT991.POSST,QRLAC_31R8_TT947.POSST,QRLAA_29R8_TT961.POSST,5,94,0.39,4,53,QRLAC_31R8_QBS947.POSST,QRLAC_31R8_FT947.POSST
451,81,ARC,Q31,QRLAC_31R8_X43,LBALB_32R8_EH843.POSST,LBALB_32R8_TT843.POSST,QRLAC_31R8_CV943.POSST,0,QRLAA_33L1_PT961.POSST,QRLAA_33L1_PT991.POSST,QRLAC_31R8_TT943.POSST,QRLAA_33L1_TT961.POSST,5,55,0.39,4,53,QRLAC_31R8_QBS943.POSST,QRLAC_31R8_FT943.POSST
452,81,ARC,Q32,QRLAD_33R8_X47,LQOAH_32R8_EH847.POSST,LQOAH_32R8_TT847.POSST,QRLAD_33R8_CV947.POSST,0,QRLAA_33L1_PT961.POSST,QRLAA_33L1_PT991.POSST,QRLAD_33R8_TT947.POSST,QRLAA_33L1_TT961.POSST,5,40,0.39,4,53,QRLAD_33R8_QBS947.POSST,QRLAD_33R8_FT947.POSST
453,81,ARC,Q33,QRLAD_33R8_X43,LBALB_34R8_EH843.POSST,LBALB_34R8_TT843.POSST,QRLAD_33R8_CV943.POSST,0,QRLAA_33L1_PT961.POSST,QRLAA_33L1_PT991.POSST,QRLAD_33R8_TT943.POSST,QRLAA_33L1_TT961.POSST,5,40,0.39,4,53,QRLAD_33R8_QBS943.POSST,QRLAD_33R8_FT943.POSST
